Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C64_32_8PR_C64_16_8PR_L32_D31_cat	603391	33	2m01s	0.324	0.358
C64_32_8PR_C64_16_16PR_L32_D31_cat	603391	35	2m00s	0.368	0.362
C64_32_8PR_C64_16_32PR_L32_D31_cat	603391	37	2m02s	0.376	0.368
C64_32_8PR_C64_32_8PR_L32_D31_cat	668927	36	2m01s	0.394	0.366
C64_32_8PR_C64_32_16PR_L32_D31_cat	668927	35	2m00s	0.386	0.336
C64_32_8PR_C64_32_32PR_L32_D31_cat	668927	34	2m02s	0.396	0.394
C64_32_16PR_C64_16_8PR_L32_D31_cat	603391	37	2m01s	0.416	0.386
C64_32_16PR_C64_16_16PR_L32_D31_cat	603391	41	2m01s	0.438	0.368
C64_32_16PR_C64_16_32PR_L32_D31_cat	603391	34	2m01s	0.358	0.354
C64_32_16PR_C64_32_8PR_L32_D31_cat	668927	40	2m01s	0.402	0.404
C64_32_16PR_C64_32_16PR_L32_D31_cat	668927	33	2m02s	0.316	0.398
C64_32_16PR_C64_32_32PR_L32_D31_cat	668927	34	2m02s	0.338	0.338
C64_32_32PR_C64_16_8PR_L32_D31_cat	603391	32	2m01s	0.378	0.33
C64_32_32PR_C64_16_16PR_L32_D31_cat	603391	31	2m00s	0.336	0.348
C64_32_32PR_C64_16_32PR_L32_D31_cat	603391	34	2m00s	0.382	0.406
C64_32_32PR_C64_32_8PR_L32_D31_cat	668927	39	2m01s	0.418	0.386
C64_32_32PR_C64_32_16PR_L32_D31_cat	668927	29	2m01s	0.358	0.314
C64_32_32PR_C64_32_32PR_L32_D31_cat	668927	32	2m00s	0.33	0.32
C64_64_8PR_C64_16_8PR_L32_D31_cat	1127679	23	2m02s	0.338	0.348
C64_64_8PR_C64_16_16PR_L32_D31_cat	1127679	24	2m00s	0.37	0.348
C64_64_8PR_C64_16_32PR_L32_D31_cat	1127679	22	2m00s	0.346	0.32
C64_64_8PR_C64_32_8PR_L32_D31_cat	1193215	22	2m02s	0.318	0.334
C64_64_8PR_C64_32_16PR_L32_D31_cat	1193215	21	2m02s	0.37	0.292
C64_64_8PR_C64_32_32PR_L32_D31_cat	1193215	21	2m02s	0.328	0.384
C64_64_16PR_C64_16_8PR_L32_D31_cat	1127679	23	2m00s	0.374	0.37
C64_64_16PR_C64_16_16PR_L32_D31_cat	1127679	23	2m02s	0.408	0.358
C64_64_16PR_C64_16_32PR_L32_D31_cat	1127679	22	2m01s	0.326	0.348
C64_64_16PR_C64_32_8PR_L32_D31_cat	1193215	21	2m02s	0.312	0.334
C64_64_16PR_C64_32_16PR_L32_D31_cat	1193215	20	2m00s	0.354	0.328
C64_64_16PR_C64_32_32PR_L32_D31_cat	1193215	21	2m00s	0.34	0.364
C64_64_32PR_C64_16_8PR_L32_D31_cat	1127679	21	2m00s	0.38	0.36
C64_64_32PR_C64_16_16PR_L32_D31_cat	1127679	21	2m01s	0.332	0.304
C64_64_32PR_C64_16_32PR_L32_D31_cat	1127679	20	2m01s	0.302	0.338
C64_64_32PR_C64_32_8PR_L32_D31_cat	1193215	19	2m00s	0.284	0.288
C64_64_32PR_C64_32_16PR_L32_D31_cat	1193215	20	2m01s	0.32	0.324
C64_64_32PR_C64_32_32PR_L32_D31_cat	1193215	19	2m01s	0.356	0.334
C64_128_8PR_C64_16_8PR_L32_D31_cat	2176255	8	2m01s	0.238	0.266
C64_128_8PR_C64_16_16PR_L32_D31_cat	2176255	8	2m03s	0.26	0.258
C64_128_8PR_C64_16_32PR_L32_D31_cat	2176255	8	2m03s	0.25	0.26
C64_128_8PR_C64_32_8PR_L32_D31_cat	2241791	7	2m01s	0.176	0.228
C64_128_8PR_C64_32_16PR_L32_D31_cat	2241791	6	2m01s	0.204	0.232
C64_128_8PR_C64_32_32PR_L32_D31_cat	2241791	6	2m00s	0.222	0.24
C64_128_16PR_C64_16_8PR_L32_D31_cat	2176255	8	2m00s	0.27	0.28
C64_128_16PR_C64_16_16PR_L32_D31_cat	2176255	8	2m02s	0.3	0.288
C64_128_16PR_C64_16_32PR_L32_D31_cat	2176255	7	2m02s	0.216	0.184
C64_128_16PR_C64_32_8PR_L32_D31_cat	2241791	6	2m00s	0.18	0.194
C64_128_16PR_C64_32_16PR_L32_D31_cat	2241791	7	2m02s	0.276	0.23
C64_128_16PR_C64_32_32PR_L32_D31_cat	2241791	5	2m01s	0.182	0.174
C64_128_32PR_C64_16_8PR_L32_D31_cat	2176255	6	2m00s	0.222	0.244
C64_128_32PR_C64_16_16PR_L32_D31_cat	2176255	5	2m02s	0.186	0.194
C64_128_32PR_C64_16_32PR_L32_D31_cat	2176255	4	2m01s	0.166	0.214
C64_128_32PR_C64_32_8PR_L32_D31_cat	2241791	4	2m02s	0.152	0.234
C64_128_32PR_C64_32_16PR_L32_D31_cat	2241791	2	2m00s	0.066	0.132
C64_128_32PR_C64_32_32PR_L32_D31_cat	2241791	1	2m01s	0.07	0.052
