True	dbase3	dwf	fits	gz	java	jpg	kml	kmz	pdf	png	ppt	pptx	rtf	swf	tex	xls
dbase3	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	96	0	4	0	0	0	1	0	0	1	3	0	10	0	0
fits	0	1	81	0	0	1	0	0	0	1	3	1	0	9	0	1
gz	0	6	0	48	0	1	0	15	0	0	1	18	0	4	0	0
java	0	0	6	0	82	0	2	0	0	0	0	0	2	0	4	0
jpg	0	7	1	4	0	65	0	0	0	0	9	5	0	10	0	2
kml	0	0	4	0	6	0	85	0	1	0	0	0	0	0	5	0
kmz	0	11	0	13	0	0	0	63	0	3	2	7	0	1	0	0
pdf	0	1	2	5	0	0	1	9	48	1	2	12	3	10	0	0
png	0	13	0	4	0	3	0	10	0	60	2	7	0	2	0	2
ppt	0	7	1	14	0	3	0	2	1	5	19	18	2	4	0	21
pptx	0	6	0	15	0	3	0	4	0	5	5	41	0	20	0	0
rtf	0	0	1	0	4	0	0	0	0	0	0	0	91	0	1	0
swf	0	13	6	8	0	1	0	7	0	6	1	15	0	51	0	4
tex	0	0	6	0	23	0	1	0	0	0	0	0	6	0	64	0
xls	0	0	0	0	0	1	0	0	1	0	5	0	0	3	0	91
