True	dbase3	doc	dwf	eps	f	fits	gif	gz	html	java	jpg	kml	kmz	pdf	png	ppt	pptx	swf	tex	text	tmp	txt	unk	wp	xls	xml
dbase3	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	48	0	0	0	0	0	0	0	0	3	0	0	0	0	27	2	2	2	0	0	0	0	4	11	0
dwf	0	0	69	0	0	1	0	0	0	0	1	0	7	0	2	1	6	5	0	0	0	0	0	0	0	0
eps	0	0	1	81	2	2	0	1	0	0	0	2	0	5	0	0	0	0	1	0	1	8	1	0	0	0
f	0	0	0	0	42	6	2	0	0	2	0	3	0	0	0	0	0	0	6	6	5	13	5	1	0	2
fits	0	0	2	0	2	64	5	0	0	0	0	0	0	1	2	2	1	0	0	6	0	10	3	0	2	0
gif	0	0	2	0	0	1	77	0	0	0	4	0	0	0	7	3	2	3	0	0	0	0	1	2	0	0
gz	0	0	2	0	0	0	3	47	0	0	1	0	10	3	0	5	18	8	0	0	0	0	0	0	0	0
html	0	0	0	5	4	2	0	0	67	2	0	7	0	0	0	0	0	0	9	2	0	1	2	0	0	6
java	0	0	0	1	21	0	0	0	2	60	0	0	0	0	0	0	0	0	2	0	2	2	2	1	0	5
jpg	0	0	0	0	0	0	4	0	2	0	68	0	0	0	1	1	7	3	0	0	0	0	1	5	0	0
kml	0	0	0	1	2	0	0	0	9	5	0	68	0	0	0	0	0	0	5	2	2	0	0	0	0	6
kmz	0	0	7	0	0	0	0	5	0	0	2	0	64	0	5	0	9	2	0	0	0	0	0	3	0	0
pdf	0	0	1	2	0	0	5	0	1	0	2	1	3	40	4	3	6	15	1	3	8	0	0	0	0	0
png	0	0	2	0	0	0	1	1	0	0	3	0	2	0	52	5	17	7	0	0	0	0	0	8	1	0
ppt	0	6	0	0	0	0	2	9	0	0	3	0	2	0	7	16	29	10	0	0	0	0	0	6	9	0
pptx	0	0	1	0	0	0	2	9	0	0	3	0	4	1	2	5	53	17	0	0	0	0	0	3	0	0
swf	0	0	2	0	0	2	6	5	0	0	4	0	8	1	9	4	13	47	0	1	0	0	0	4	0	0
tex	0	0	0	0	2	0	0	0	3	1	0	2	0	0	0	0	0	0	84	0	2	3	0	0	0	0
text	0	16	0	4	7	3	2	0	1	0	3	0	0	1	1	8	3	1	2	15	3	13	4	8	1	0
tmp	0	0	0	4	11	1	0	0	9	0	0	0	0	0	0	1	5	0	1	8	43	14	2	3	0	2
txt	0	0	0	4	25	3	0	0	1	2	0	1	0	1	0	0	0	0	5	5	9	43	2	3	0	1
unk	0	6	0	2	18	9	0	2	2	4	0	1	0	0	0	0	4	0	2	5	1	10	26	7	0	0
wp	0	0	1	0	1	2	0	1	0	0	0	0	0	0	7	3	0	0	1	0	0	1	0	89	0	0
xls	0	23	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	1	0	1	8	8	57	0
xml	0	0	0	1	3	0	0	0	17	0	0	8	0	1	0	0	0	0	10	0	4	1	0	0	0	56
