True	dbase3	doc	eps	f	fits	java	kml	kmz	sql	tex	troff	unk	xls
dbase3	100	0	2	0	1	0	0	0	1	0	0	0	0
doc	0	47	1	4	0	0	3	13	1	1	1	11	15
eps	0	2	86	1	2	2	0	1	1	2	0	0	2
f	0	1	7	22	6	25	0	0	8	3	7	16	0
fits	0	8	1	3	72	1	0	10	4	0	0	1	1
java	0	0	12	5	0	65	1	0	3	5	2	2	0
kml	0	0	6	4	1	5	81	0	1	3	0	0	0
kmz	0	2	0	0	2	0	0	105	0	0	0	0	0
sql	0	2	9	11	1	11	0	0	48	4	8	7	0
tex	0	4	13	1	0	3	2	0	0	60	0	11	0
troff	1	1	21	5	2	5	2	0	3	4	49	11	0
unk	1	13	11	10	11	6	0	7	2	7	5	21	6
xls	0	31	0	1	0	0	0	2	0	0	1	3	62
