True	csv	dbase3	doc	gif	gz	html	java	jpg	log	pdf	png	ppt	ps	rtf	swf	txt	unk	xls	xml
csv	76	1	1	0	0	1	0	0	3	0	0	0	2	0	0	11	2	3	0
dbase3	1	93	2	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0
doc	0	0	55	0	3	1	0	6	4	1	2	3	0	1	4	8	6	6	0
gif	0	0	5	31	21	0	0	23	0	0	1	2	0	0	16	0	0	1	0
gz	0	0	0	1	52	0	0	32	0	3	3	6	0	0	3	0	0	0	0
html	2	4	0	0	0	25	2	0	18	2	0	0	1	1	0	9	8	0	28
java	0	0	0	0	0	1	66	0	3	1	0	0	3	1	0	4	4	0	17
jpg	0	0	3	0	40	0	0	42	0	4	2	0	0	0	6	0	3	0	0
log	1	3	0	0	0	2	3	0	57	1	0	0	7	2	0	8	7	0	9
pdf	0	1	0	1	27	0	0	24	5	29	1	2	5	2	3	0	0	0	0
png	0	0	0	1	32	0	0	40	0	3	10	4	0	0	10	0	0	0	0
ppt	0	0	18	1	22	0	0	28	0	0	5	4	0	1	7	1	8	4	1
ps	0	0	2	0	1	1	2	1	4	7	0	0	66	7	0	1	6	0	2
rtf	0	0	1	0	0	1	0	0	0	0	0	0	6	85	0	3	3	0	1
swf	0	0	2	1	35	0	0	37	0	1	4	1	0	0	15	0	1	3	0
txt	3	9	2	0	0	3	0	0	13	1	0	0	8	1	0	42	14	0	4
unk	2	5	5	1	3	1	9	3	2	2	2	1	5	1	3	25	26	0	4
xls	0	0	35	0	0	1	0	0	0	1	0	7	0	0	1	2	5	48	0
xml	0	0	0	0	0	3	5	0	9	1	0	0	0	4	0	5	3	0	70
