True	dbase3	eps	gif	gz	html	kml	kmz	log	pdf	pptx	ps	tex	xls
dbase3	102	0	0	0	0	0	0	0	0	0	0	0	0
eps	0	58	0	1	0	0	0	1	0	0	39	1	0
gif	0	0	72	2	0	0	2	0	13	10	0	0	3
gz	0	0	3	73	0	0	6	0	0	20	0	0	1
html	0	0	0	0	75	4	0	11	0	0	5	1	0
kml	0	0	0	0	10	83	0	3	0	0	0	1	0
kmz	0	0	0	16	0	0	79	0	1	1	0	0	0
log	0	3	0	0	3	8	0	66	0	0	11	3	0
pdf	0	1	6	16	3	0	5	0	53	17	5	1	0
pptx	0	0	6	41	0	0	7	0	0	51	0	1	0
ps	0	12	0	1	3	0	0	12	2	0	70	0	0
tex	0	2	0	0	10	0	0	10	0	0	4	71	0
xls	0	0	2	0	0	0	0	0	0	2	0	0	95
