True	dbase3	gz	jpg	kmz	log	pptx	swf	tex	tmp	troff	txt	wp
dbase3	98	0	0	0	0	0	0	0	0	1	0	0
gz	0	46	0	40	0	2	16	0	0	0	0	0
jpg	0	5	71	2	0	2	20	0	2	0	0	0
kmz	0	17	0	71	0	4	5	0	0	0	0	0
log	0	0	0	0	64	0	0	13	5	5	3	0
pptx	0	28	0	9	0	18	50	0	0	0	0	1
swf	0	16	1	15	0	3	55	0	1	0	0	3
tex	0	0	0	0	8	0	0	91	1	0	5	0
tmp	0	0	0	0	9	0	0	3	67	4	11	3
troff	0	0	0	0	5	0	0	2	6	75	11	0
txt	0	0	0	0	12	0	0	2	11	24	54	4
wp	0	0	7	7	1	1	6	1	3	1	4	69
