True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	57	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	1	0	13	0	2	0	2	6	2	2	0	0	0	0
dbase3	0	103	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
doc	0	0	48	6	0	0	0	0	0	6	1	1	0	0	1	0	1	0	3	0	1	1	0	6	2	3	7	2	0	0	3	2	2	11	1	0
docx	0	0	1	13	1	0	0	0	4	22	0	0	0	3	0	27	0	1	9	0	0	6	0	0	0	9	0	0	0	0	0	0	1	0	0	2
dwf	0	0	0	5	2	0	0	0	5	19	0	0	0	9	0	31	0	1	5	0	0	4	0	0	0	13	0	0	0	0	0	0	1	0	0	2
eps	3	0	0	0	0	46	1	5	0	0	0	4	2	0	0	0	2	0	0	0	2	0	17	3	1	0	0	0	2	1	5	1	0	1	1	0
f	1	2	0	0	0	2	12	1	0	0	2	6	20	0	1	2	2	0	0	0	0	0	0	5	7	0	12	0	0	10	7	5	3	0	0	0
fits	0	2	6	1	2	5	5	47	5	2	0	0	0	0	0	0	0	2	1	1	2	4	1	0	1	5	0	0	0	0	0	0	0	0	0	0
gif	0	0	2	9	0	0	0	0	29	10	0	0	0	8	0	6	0	0	12	0	0	10	0	0	0	12	0	1	0	0	0	0	0	0	0	1
gz	0	0	0	3	3	0	0	0	4	35	0	0	0	6	0	20	0	1	12	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	8
hlp	0	2	0	0	0	0	5	0	0	0	58	4	4	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	1	5	2	1	0	0	0
html	3	0	0	0	0	0	0	0	0	0	2	40	3	0	11	0	2	1	0	0	0	0	2	5	2	0	9	0	2	0	2	4	0	0	15	0
java	1	0	0	0	0	0	5	0	0	0	2	11	69	0	0	0	1	0	0	0	0	0	0	1	2	0	5	0	0	1	2	0	0	0	0	0
jpg	0	0	0	5	5	0	0	0	6	30	0	0	0	4	2	20	0	0	8	0	0	9	0	0	0	4	0	0	0	0	0	0	1	0	0	2
kml	0	0	0	0	0	0	1	0	0	0	0	1	0	0	83	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	3	0	0	0	4	0
kmz	0	0	0	4	1	0	0	0	3	32	0	0	0	1	0	45	0	1	6	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	3
log	4	3	0	0	0	2	7	0	0	0	0	17	2	0	5	0	22	0	0	0	0	0	2	2	4	0	9	0	5	1	1	4	0	0	12	0
pdf	0	2	0	6	2	4	0	1	1	15	0	4	0	5	3	19	0	18	2	0	2	3	9	0	0	4	0	0	1	0	1	0	0	0	1	0
png	0	0	0	8	1	0	0	0	7	19	0	0	0	4	0	18	0	0	14	0	2	12	0	0	0	11	0	0	0	0	0	0	0	0	0	2
pps	0	0	6	4	1	0	0	0	2	16	0	0	0	4	0	26	0	2	7	0	7	7	0	1	1	4	0	0	0	0	0	1	2	4	0	2
ppt	0	0	11	10	0	0	0	0	1	9	0	0	0	8	0	14	0	0	10	1	10	4	0	1	0	7	0	0	0	0	0	0	2	3	0	3
pptx	0	0	3	3	1	0	0	1	1	39	0	0	0	3	0	25	0	0	10	0	1	10	0	1	0	6	0	0	0	0	0	0	1	0	0	0
ps	4	0	0	0	0	32	0	0	0	1	0	2	1	0	1	0	5	0	0	0	0	2	41	2	0	0	1	0	3	2	6	2	0	0	4	0
rtf	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	5	81	0	0	2	1	0	0	1	0	0	0	0	0
sql	3	2	0	0	0	2	4	0	0	0	0	2	5	0	0	0	2	0	0	0	0	0	0	0	57	0	5	0	5	7	0	0	0	0	2	0
swf	0	0	0	1	1	0	0	0	5	25	0	0	0	1	0	21	0	0	7	0	0	3	0	1	0	21	0	0	0	0	0	0	2	0	0	3
tex	4	0	0	0	0	0	0	0	0	0	5	10	8	0	0	0	0	0	0	0	0	0	0	8	2	0	48	0	1	1	0	6	1	0	9	0
text	2	2	7	5	0	4	1	2	3	8	1	4	4	0	0	7	4	3	0	0	3	2	1	4	3	3	2	3	0	0	10	8	3	4	1	0
tmp	6	2	1	0	0	0	1	0	0	0	0	7	2	0	6	1	16	1	0	0	1	0	1	3	4	0	1	0	23	2	5	0	1	1	9	0
troff	6	3	0	0	0	4	13	0	0	0	0	7	6	0	0	0	3	1	0	0	0	0	4	4	6	0	6	0	1	35	1	1	4	0	3	0
txt	2	7	0	0	0	5	9	2	0	0	3	8	4	0	2	0	2	1	0	0	0	0	1	4	5	0	6	4	1	6	20	6	6	0	0	0
unk	0	5	5	0	0	2	14	3	1	0	4	9	14	0	0	0	1	1	0	0	1	1	2	7	4	2	12	2	2	2	3	7	1	2	1	0
wp	0	0	3	1	1	1	0	2	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	6	2	2	6	1	1	1	1	7	64	2	0	0
xls	0	0	27	1	0	2	1	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	0	0	0	7	0	0	0	2	1	1	0	52	0	0
xml	0	0	0	0	0	0	0	0	0	0	0	16	4	0	30	0	2	0	0	0	0	0	0	1	3	0	6	0	0	0	0	0	0	0	39	0
zip	0	0	0	6	1	0	0	0	0	31	0	0	0	5	0	35	0	0	6	0	0	13	0	0	0	3	0	0	0	0	0	0	1	0	0	1
