True	doc	docx	eps	fits	html	java	kmz	pdf	png	pps	sql	tex	troff	txt	unk	zip
doc	35	24	0	1	3	0	2	1	3	3	3	5	1	2	5	9
docx	1	45	0	0	0	0	7	1	18	3	0	0	0	0	1	25
eps	2	0	79	0	3	0	0	5	0	0	4	1	6	1	3	0
fits	1	6	2	55	0	0	0	3	1	4	0	0	0	5	16	5
html	2	0	4	0	68	2	0	4	0	0	3	7	4	1	6	0
java	0	0	1	0	5	75	0	0	0	0	5	8	3	1	4	0
kmz	0	19	0	0	0	0	22	4	7	2	0	0	0	0	0	49
pdf	2	11	5	0	6	0	5	29	12	3	0	0	0	0	2	29
png	0	19	0	1	0	0	7	5	26	1	0	0	0	0	0	39
pps	5	28	2	2	1	0	7	2	9	13	0	0	0	0	1	28
sql	0	4	4	0	8	5	0	0	0	0	60	4	4	0	7	0
tex	4	0	1	0	16	1	0	0	0	0	4	57	1	6	5	0
troff	0	0	3	0	10	3	0	0	0	0	9	5	62	1	8	0
txt	1	1	15	0	3	3	0	2	0	0	5	13	22	20	20	0
unk	7	3	0	6	8	6	1	1	2	2	8	10	8	2	33	2
zip	0	22	0	0	0	0	12	5	10	2	0	0	0	0	0	47
