True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	56	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	1	0	0	15	15	1	3	0	1	0
dbase3	0	101	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
doc	0	0	36	0	1	0	0	0	7	2	1	0	0	1	0	1	0	1	0	1	8	0	0	0	1	5	2	1	1	3	1	2	19	5	0	0
docx	0	0	5	21	8	0	0	0	27	8	0	0	0	5	0	1	0	3	7	0	0	11	0	0	0	2	0	0	0	0	0	0	5	0	0	3
dwf	0	0	1	7	8	0	0	1	36	7	0	0	0	4	0	4	0	1	5	2	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	12
eps	0	0	2	0	0	76	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	7	3	0	0	0	0	0	1	2	2	4	0	0	0
f	0	0	0	0	0	4	26	6	0	0	1	0	12	0	0	0	4	0	0	0	0	0	0	0	7	0	3	0	1	18	1	7	5	0	0	0
fits	0	0	6	2	2	0	0	58	14	1	0	0	0	0	0	0	2	1	1	3	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0
gif	0	0	0	3	2	0	0	0	65	7	0	0	0	0	0	3	0	0	8	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	3
gz	0	0	0	5	17	0	0	0	24	28	0	0	0	3	0	6	0	1	4	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	5
hlp	0	0	0	0	0	0	3	5	0	0	50	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	12	11	0	0	0
html	0	3	1	0	0	0	2	1	0	0	0	20	5	0	4	0	2	3	0	0	0	0	2	0	4	0	3	2	2	5	4	10	9	0	15	0
java	1	0	0	0	0	0	7	1	0	0	2	1	54	0	0	0	2	0	0	0	0	0	0	0	3	0	8	2	0	4	1	8	5	0	1	0
jpg	0	0	1	2	17	0	0	0	31	16	0	0	0	7	0	2	0	1	9	3	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	5
kml	0	0	0	0	0	0	1	0	0	0	0	1	0	0	81	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	4	2	0	0	4	0
kmz	0	0	0	11	10	0	0	0	20	14	0	0	0	5	0	24	0	1	6	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	8
log	1	1	0	0	0	10	3	0	0	0	0	1	2	0	5	0	22	5	0	0	0	0	3	0	7	0	9	0	5	14	1	2	3	0	3	0
pdf	0	1	1	3	6	3	0	1	25	13	0	0	0	3	1	1	1	22	3	1	1	3	4	0	0	1	0	0	1	0	0	0	0	0	2	4
png	0	0	0	7	10	0	0	0	38	9	0	0	0	4	0	1	0	1	15	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	3
