Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C64_64_8PR_C64_16_16PR_L64_D31_cat	1149279	20	2m04s	0.396	0.381
C64_64_8PR_C64_16_16PR_L128_D31_cat	1217055	19	2m02s	0.426	0.413
