True	csv	dbase3	doc	dwf	eps	f	fits	gif	gz	hlp	html	jpg	kml	kmz	log	pdf	png	pps	pptx	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls
csv	67	1	0	0	3	4	0	0	0	0	1	0	1	0	3	0	0	0	0	4	0	1	0	0	14	4	0	1	0
dbase3	0	96	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0
doc	0	0	41	4	4	4	0	4	6	0	3	1	0	3	1	0	3	1	1	2	0	0	0	1	0	4	1	11	10
dwf	0	0	1	15	0	0	1	16	14	0	0	17	0	7	0	0	19	2	4	0	3	0	0	0	0	0	0	2	1
eps	0	0	0	0	80	2	0	0	0	2	0	0	1	0	3	3	0	1	1	3	0	0	0	1	2	2	0	0	0
f	1	3	0	0	6	36	1	1	0	3	14	0	0	0	6	0	0	0	0	1	0	2	3	2	6	15	0	2	0
fits	0	0	4	6	2	1	47	8	3	0	0	2	0	0	0	8	1	2	1	1	3	1	0	0	1	8	2	2	0
gif	0	0	2	11	0	0	0	53	6	0	0	7	0	2	0	1	12	2	4	0	3	0	0	0	0	0	0	0	0
gz	0	0	0	15	0	0	0	8	22	0	0	17	0	13	0	1	14	4	3	0	3	0	0	0	0	0	0	0	0
hlp	0	0	0	0	3	14	0	0	0	65	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	4	3	4	0
html	1	0	0	0	2	2	0	0	0	3	58	0	6	0	3	1	0	0	0	0	0	4	1	4	1	8	0	5	0
jpg	0	0	1	11	0	0	0	13	18	0	0	15	0	4	0	0	30	2	5	0	0	0	0	0	0	0	0	2	0
kml	0	0	0	0	0	0	0	0	0	0	12	0	80	0	0	0	0	0	0	2	0	0	0	2	0	3	0	0	0
kmz	0	0	0	10	0	0	0	10	16	0	0	8	0	18	0	1	28	1	4	0	3	0	0	0	0	0	0	0	0
log	0	0	0	0	7	6	0	0	0	0	24	0	4	0	32	0	0	0	0	4	0	3	0	15	0	4	1	1	0
pdf	0	0	0	22	8	0	0	9	5	0	2	13	1	3	0	17	13	1	2	0	2	0	0	1	1	0	0	0	1
png	0	0	0	7	0	0	0	17	17	0	0	12	0	6	0	0	25	6	6	0	4	0	0	0	0	0	0	0	0
pps	0	0	6	14	0	0	0	10	14	0	0	12	1	9	0	2	13	1	5	0	2	1	0	0	0	0	0	5	4
pptx	0	0	3	11	0	0	0	6	16	0	0	14	0	9	0	3	16	4	9	0	2	0	0	0	0	0	0	4	1
sql	1	2	4	0	1	10	0	0	0	2	14	0	0	0	3	0	0	0	0	35	0	5	1	2	7	9	3	1	0
swf	0	0	0	29	0	0	0	13	5	0	0	9	0	3	0	0	22	4	5	0	3	0	0	0	0	0	1	3	1
tex	2	0	1	0	0	2	0	0	0	1	24	0	1	0	3	0	0	0	0	2	0	45	0	3	0	9	2	6	0
text	1	0	8	4	5	4	0	7	7	0	7	0	0	0	0	2	4	1	0	3	4	1	4	2	2	11	3	10	8
tmp	2	0	0	0	5	4	0	0	0	0	12	0	2	0	12	0	0	0	0	7	0	4	0	33	3	9	0	0	0
troff	2	0	0	0	7	14	0	0	0	3	6	0	0	0	2	0	0	0	0	5	0	0	0	5	43	7	1	3	0
txt	3	0	4	0	10	11	2	0	0	2	14	0	2	0	4	0	0	0	0	2	0	0	2	1	7	28	1	6	0
unk	0	0	8	1	3	8	3	3	2	4	19	0	0	0	1	5	1	1	0	3	2	1	1	2	2	14	9	3	4
wp	0	0	7	0	1	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	71	6
xls	0	0	25	2	2	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	4	60
