True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	71	0	0	0	0	0	1	0	0	0	0	6	0	0	1	0	3	0	0	0	0	0	6	0	2	0	1	0	3	2	0	1	0	0	2
dbase3	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	0	69	2	0	0	2	1	0	2	1	0	0	1	0	0	0	0	0	5	5	1	1	0	0	1	0	0	0	0	0	2	0	3	0
docx	0	0	0	90	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	66	0	0	0	1	8	0	0	0	1	0	3	0	5	0	3	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0
eps	2	0	0	0	2	57	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	28	0	0	0	1	2	0	1	2	1	0	0	1
f	7	0	0	0	0	1	32	7	0	0	1	0	3	0	4	0	2	3	0	0	0	0	3	0	1	0	0	0	2	6	5	24	0	0	1
fits	0	0	2	0	2	0	0	74	1	1	0	0	0	2	0	0	0	6	2	1	3	1	0	0	0	3	0	1	0	0	1	4	0	2	0
gif	0	0	1	0	3	0	0	0	68	3	0	0	0	0	0	1	0	8	1	3	0	0	0	0	0	6	0	1	1	0	0	0	0	0	0
gz	0	0	0	0	3	0	0	0	1	67	0	0	0	0	0	7	0	4	0	8	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
hlp	1	0	1	0	0	0	9	0	0	0	62	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	16	1	0	0
html	6	0	0	0	0	1	3	0	0	0	1	53	0	0	4	0	0	1	0	0	0	0	7	0	0	0	2	0	0	0	1	8	0	0	11
java	1	0	0	0	0	0	6	0	0	0	2	1	33	0	9	0	4	0	0	0	0	0	12	0	0	0	0	0	3	3	0	21	1	0	7
jpg	0	0	0	0	3	0	0	0	4	3	0	0	0	73	0	0	0	3	7	3	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0
kml	0	0	0	0	0	0	0	1	0	0	0	3	5	0	82	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	5
kmz	0	0	0	0	11	0	0	0	0	16	0	0	0	1	0	58	0	1	7	4	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0
log	1	0	4	0	0	8	1	2	0	0	2	3	0	0	4	0	41	1	0	0	0	0	7	0	1	0	2	0	6	4	3	2	0	0	5
pdf	0	0	0	0	0	1	0	0	2	5	0	0	0	1	1	2	0	53	2	8	3	3	7	0	0	13	0	0	0	0	0	2	0	0	0
png	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	2	0	2	60	6	2	3	0	0	0	4	0	0	0	0	0	1	2	0	0
pps	0	0	6	0	1	0	0	1	0	26	0	0	0	4	0	5	0	0	4	11	18	9	0	0	0	9	0	0	1	0	0	1	3	3	0
ppt	0	0	16	0	0	0	0	1	2	15	0	0	0	2	0	3	0	2	4	17	17	4	0	0	0	15	0	0	0	0	0	0	1	6	0
pptx	0	0	0	12	2	0	0	0	2	30	0	0	0	1	0	5	0	2	2	12	3	19	0	0	0	11	0	0	0	0	0	0	1	1	0
ps	4	0	0	0	0	11	1	2	0	0	2	1	1	0	0	1	2	2	0	0	0	0	63	0	0	0	0	1	0	0	4	2	0	0	1
rtf	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	76	0	0	4	0	1	0	2	1	0	0	1
sql	9	0	0	2	0	6	8	1	0	0	2	3	5	0	0	0	4	0	0	0	0	0	1	0	29	0	3	2	7	1	5	11	0	0	1
swf	0	0	0	0	3	0	0	1	4	12	0	0	0	2	0	2	0	1	16	7	5	5	0	0	0	39	0	0	0	0	0	0	1	0	0
tex	2	0	0	0	0	1	0	0	0	0	3	3	2	0	2	0	3	0	0	0	0	0	4	0	0	0	76	0	0	0	3	2	0	0	1
text	1	0	24	2	0	1	2	12	3	1	0	3	0	2	0	0	0	4	1	2	2	2	3	0	1	1	0	14	2	7	5	5	1	0	0
tmp	0	0	0	5	0	0	3	5	2	0	1	4	0	0	1	0	2	4	0	0	0	0	5	0	1	0	2	2	48	1	5	5	1	0	2
troff	1	0	0	0	0	0	1	2	0	0	1	3	3	0	1	0	0	1	0	0	0	0	3	0	6	0	0	2	5	56	1	7	0	0	0
txt	3	0	0	0	0	3	16	15	0	0	1	0	2	0	0	0	2	2	0	0	0	0	8	0	4	0	2	3	3	3	26	9	1	0	0
unk	0	0	8	1	0	1	9	11	0	1	2	3	1	0	0	0	0	0	2	1	0	0	2	0	1	0	0	1	1	7	9	37	0	3	2
wp	0	0	0	0	2	0	0	0	1	0	1	0	0	6	0	0	0	0	7	0	2	1	0	0	0	1	0	0	0	0	0	3	75	1	0
xls	0	0	33	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	2	64	0
xml	1	0	0	0	0	4	0	0	0	0	0	13	0	0	22	0	1	2	0	0	0	0	6	1	0	0	2	0	0	1	0	0	0	0	49
