True	csv	doc	docx	eps	f	gif	gz	hlp	html	java	png	pps	ppt	pptx	ps	sql	tex	text	tmp	troff	unk	wp	xls	xml
csv	62	0	0	8	2	0	0	0	3	4	0	0	0	0	2	5	3	2	1	0	1	0	0	0
doc	1	23	0	0	3	0	1	1	0	0	0	4	19	0	0	2	1	0	0	0	0	8	31	0
docx	0	0	93	0	0	0	3	0	0	0	1	2	0	8	0	0	0	0	0	0	0	0	0	0
eps	0	0	0	74	2	0	1	0	1	0	0	1	0	0	12	2	0	0	0	0	1	0	0	4
f	3	0	0	1	31	0	0	2	1	9	2	0	0	0	4	11	0	14	4	4	13	1	0	3
gif	0	0	1	0	0	60	2	0	0	0	6	3	2	13	0	0	0	4	0	0	0	10	0	0
gz	0	0	0	0	0	0	76	0	0	0	0	3	1	28	0	0	0	0	0	0	0	1	0	0
hlp	0	0	0	0	12	0	0	69	1	10	0	0	0	0	0	1	1	0	2	0	8	0	0	0
html	1	0	0	1	1	0	0	0	72	1	0	0	0	0	0	5	1	2	2	0	3	0	0	14
java	0	0	0	3	2	0	0	1	3	71	0	0	0	0	4	4	2	0	2	0	6	1	0	1
png	0	0	0	0	0	7	13	0	0	0	63	2	3	17	0	0	0	0	0	0	0	2	0	0
pps	0	4	0	0	0	4	20	0	0	0	1	4	11	46	0	0	0	0	0	0	2	3	8	0
ppt	0	9	0	1	0	2	19	0	0	0	1	4	16	19	0	1	0	1	0	0	0	9	7	0
pptx	0	1	5	1	0	2	22	0	0	0	2	10	5	38	0	0	0	0	0	0	0	2	0	1
ps	1	0	0	27	3	0	0	0	3	2	0	0	0	0	58	2	0	2	4	2	1	0	0	1
sql	1	0	0	1	5	0	0	3	3	3	0	0	0	0	0	49	8	4	4	7	5	0	0	0
tex	1	0	0	1	3	0	0	0	0	4	0	0	0	0	0	4	78	1	2	0	0	0	0	8
text	0	11	0	4	7	1	2	2	2	1	0	3	6	4	0	3	0	27	6	2	6	3	13	0
tmp	2	1	5	9	5	4	0	4	3	0	0	0	0	0	4	5	1	7	44	1	1	5	0	2
troff	4	0	0	3	9	0	0	0	6	8	0	0	0	0	4	16	0	11	0	31	7	4	0	0
unk	3	0	0	5	6	1	0	2	5	7	1	0	2	2	3	4	0	3	0	6	30	2	4	2
wp	0	0	0	0	1	0	1	3	1	1	8	0	4	3	1	2	0	1	0	1	5	70	0	0
xls	0	15	0	0	0	1	0	0	0	1	0	0	17	1	0	0	0	1	0	0	0	1	61	0
xml	4	0	0	3	3	0	0	0	16	0	0	0	0	0	1	0	3	0	1	0	0	0	0	71
