True	csv	doc	docx	dwf	eps	fits	gif	html	java	kmz	log	png	pps	ppt	pptx	rtf	sql	text	tmp	troff	txt	unk	wp	xls	xml
csv	76	0	0	0	6	0	0	2	4	0	2	0	0	0	0	0	0	0	2	4	2	0	0	0	0
doc	1	36	1	0	0	0	1	0	0	0	0	0	6	1	1	0	0	1	0	2	0	0	1	42	0
docx	0	2	87	0	0	0	0	0	0	2	0	1	7	1	2	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	65	0	4	5	0	0	0	0	7	6	0	3	0	0	3	0	0	0	0	0	0	0
eps	1	0	0	0	72	1	1	2	0	0	6	0	0	0	0	3	3	0	1	1	8	0	0	0	3
fits	0	2	0	0	0	83	1	0	0	0	0	3	0	1	0	0	0	0	0	0	6	1	1	2	0
gif	0	1	4	0	0	2	75	0	0	0	0	6	2	3	5	0	0	4	0	0	0	0	3	1	0
html	2	0	0	0	4	3	0	70	2	0	1	0	0	0	0	0	2	1	2	2	0	1	0	0	16
java	2	0	0	0	1	0	0	0	64	0	5	0	0	0	0	2	2	1	0	10	3	7	0	0	1
kmz	0	0	0	15	0	0	1	0	0	51	0	10	12	2	6	0	0	0	0	0	0	0	0	0	0
log	7	3	0	0	12	1	1	0	4	0	48	0	0	0	0	0	3	0	3	5	4	1	0	0	6
png	0	0	1	4	0	0	4	0	0	3	0	57	11	1	10	0	0	0	0	0	0	0	4	0	0
pps	0	8	0	0	0	4	11	0	0	0	0	3	28	10	21	0	0	0	0	0	0	0	7	10	0
ppt	0	21	1	4	0	3	4	0	0	6	0	4	22	8	15	0	0	1	0	0	0	0	2	13	0
pptx	0	1	13	4	0	3	6	0	0	1	0	4	29	13	20	0	0	0	0	0	0	0	1	1	0
rtf	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	88	0	0	1	2	3	2	0	2	0
sql	5	3	0	0	11	0	0	0	4	0	0	0	0	0	0	0	41	3	5	13	2	12	0	0	0
text	0	19	2	0	3	9	3	0	0	0	0	1	7	0	2	0	1	15	3	10	6	3	5	7	0
tmp	2	0	0	0	8	3	0	2	1	0	5	0	0	0	0	3	9	3	47	7	7	4	0	0	3
troff	6	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	5	1	9	62	8	6	0	0	0
txt	11	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	2	3	4	11	42	18	0	0	0
unk	2	1	0	0	5	13	0	7	10	0	2	0	1	0	0	0	0	4	1	12	6	27	4	1	0
wp	0	3	0	4	0	1	1	0	1	0	0	8	3	1	0	0	0	2	2	1	5	1	74	0	0
xls	0	19	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	75	0
xml	0	0	0	0	6	0	0	11	9	0	2	0	0	0	0	2	0	0	3	2	0	0	0	0	63
