True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	troff	txt	unk	wp	xls	xml
csv	66	0	0	0	0	2	5	0	0	0	1	3	1	0	0	0	2	2	0	0	0	0	6	1	3	0	4	1	8	0	2	0	0	0
dbase3	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
doc	0	0	14	1	1	0	1	1	1	0	1	1	0	3	0	0	0	0	0	4	2	1	1	0	0	0	1	4	0	0	4	0	59	0
docx	0	0	0	82	1	0	0	0	0	5	0	0	0	0	0	0	0	1	1	3	0	3	0	0	0	1	0	0	0	0	0	0	0	0
dwf	0	0	0	0	83	0	0	0	1	3	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	21	6	0	0	0	1	1	1	0	0	0	1
f	6	0	0	0	0	1	14	4	0	0	2	1	9	0	0	0	4	0	2	0	0	0	0	2	7	0	0	3	19	12	7	0	0	1
fits	0	1	1	0	0	0	1	66	4	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	8	0	1	9	0	0	0
gif	0	0	0	2	5	0	0	1	72	1	0	0	0	0	0	0	0	7	2	3	0	1	0	0	0	4	0	0	0	0	0	0	0	0
gz	0	0	0	0	5	0	0	0	0	45	0	0	0	0	0	5	0	3	0	11	1	17	0	0	0	6	0	0	0	0	0	0	0	0
hlp	1	0	0	0	0	0	3	0	0	0	66	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	4	4	14	0	0	0
html	4	0	0	0	0	2	2	0	0	0	0	64	0	0	0	0	0	1	0	0	0	0	5	2	0	0	2	0	0	1	4	0	0	10
java	0	0	0	0	0	0	3	0	0	0	0	0	70	0	2	0	8	0	0	0	0	0	1	0	3	0	0	0	1	2	12	0	0	2
jpg	0	0	2	0	3	0	0	1	0	1	0	0	0	69	0	0	1	5	0	9	1	10	0	0	0	3	0	0	0	0	0	0	2	0
kml	0	0	0	0	0	1	0	0	0	0	0	6	0	0	79	0	4	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	7
kmz	0	0	0	0	7	0	0	0	2	10	0	0	0	0	0	65	0	1	3	7	0	14	0	0	0	2	0	0	0	0	0	0	0	0
log	0	0	0	0	0	1	2	0	0	0	0	0	10	0	2	0	55	1	0	0	0	0	4	2	0	0	5	0	2	3	4	0	0	5
pdf	0	0	0	0	2	2	0	1	2	4	0	4	0	0	0	1	1	61	1	2	0	7	4	0	0	4	0	1	0	0	0	0	0	0
png	0	0	0	0	7	0	0	1	4	4	0	0	0	1	0	1	0	2	52	12	4	10	0	0	0	3	0	0	0	0	0	0	0	0
pps	0	0	3	0	2	0	0	1	3	6	0	0	0	0	0	2	0	6	0	22	7	22	0	0	0	12	0	2	0	0	2	1	12	0
ppt	0	0	6	0	4	0	0	0	4	6	0	0	0	0	0	3	0	9	1	13	9	18	0	0	0	2	0	1	0	0	2	5	15	0
pptx	0	0	0	9	4	0	0	1	4	13	0	0	0	0	0	3	0	9	2	17	3	21	0	0	0	9	0	0	0	0	0	0	0	1
ps	2	0	0	0	0	7	1	2	0	0	0	0	2	0	2	1	5	7	0	0	0	0	66	2	0	0	1	0	0	1	1	0	0	0
rtf	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	88	0	0	1	0	0	2	3	0	2	0
sql	0	0	0	0	0	2	8	1	1	0	3	5	5	0	1	0	0	1	0	0	0	0	4	0	34	0	2	2	12	10	7	0	0	3
swf	0	0	0	0	10	0	0	1	5	6	0	0	0	0	0	4	0	3	5	15	2	18	0	0	0	25	0	0	0	0	0	3	0	0
tex	1	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	4	2	0	0	0	0	0	2	2	0	71	0	0	2	4	0	0	2
text	1	0	6	1	1	2	5	11	0	1	1	1	2	3	0	0	3	2	0	3	0	1	3	2	2	0	4	14	8	7	4	0	12	0
troff	3	0	0	0	0	2	11	2	0	0	0	1	0	0	0	0	5	4	0	0	0	0	2	0	3	0	0	0	55	4	8	0	0	1
txt	3	0	0	0	0	10	12	13	0	0	3	1	0	0	0	0	3	2	0	0	0	0	3	2	4	0	2	6	6	28	9	0	0	1
unk	2	0	3	0	0	2	4	9	1	0	1	0	8	2	0	0	2	0	1	2	0	1	2	0	1	0	0	8	2	7	31	2	2	0
wp	0	0	1	0	7	0	0	0	0	0	0	0	2	2	0	0	0	0	2	2	1	1	0	0	0	2	0	1	2	0	8	66	2	0
xls	0	0	2	0	1	0	1	0	3	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	96	0
xml	5	0	0	0	0	0	0	0	0	0	0	3	2	0	6	0	5	0	0	0	0	0	1	3	1	0	3	0	1	0	0	0	0	69
