True	csv	eps	fits	gif	html	kml	kmz	log	pdf	ps	sql	tex	xls
csv	87	0	2	0	0	0	0	2	0	5	5	0	0
eps	1	50	4	0	0	0	0	2	0	46	1	2	0
fits	0	0	79	1	0	0	0	1	9	0	2	0	4
gif	0	0	13	58	0	0	4	0	17	0	0	0	5
html	9	1	0	0	65	4	0	1	1	6	3	5	0
kml	3	2	0	0	6	83	0	7	0	1	5	2	0
kmz	0	0	0	0	0	0	84	0	14	0	0	0	0
log	5	2	0	0	3	1	0	65	0	16	5	4	0
pdf	0	1	8	2	1	1	10	0	55	12	2	0	0
ps	1	4	3	0	0	1	2	2	1	84	1	1	0
sql	11	0	2	0	1	0	0	14	0	13	62	4	0
tex	3	0	0	0	0	2	0	9	0	6	9	72	0
xls	0	0	2	0	0	0	0	1	0	0	0	0	94
