True	gif	gz	kml	png	pps	ps	sql	swf	tex	text	troff	unk
gif	72	0	0	7	4	0	0	19	0	3	0	0
gz	0	75	0	2	9	0	0	15	0	0	0	0
kml	0	0	80	0	0	4	0	0	4	2	0	2
png	5	7	0	56	12	0	0	26	0	0	0	1
pps	0	26	0	4	26	0	0	26	0	15	0	2
ps	0	0	1	0	0	90	0	1	1	0	0	1
sql	0	0	1	0	0	7	59	0	12	3	0	14
swf	3	16	0	2	10	0	0	66	0	2	0	1
tex	0	0	3	0	0	7	2	0	76	3	0	6
text	3	1	1	0	4	5	10	15	6	50	2	10
troff	0	0	1	0	0	7	12	0	0	2	63	16
unk	0	0	3	0	3	8	6	0	3	15	5	58
