True	csv	dbase3	doc	docx	dwf	eps	f	fits	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	66	0	0	0	0	0	3	0	0	0	7	0	0	0	0	1	0	0	0	0	0	2	0	3	0	2	2	1	10	6	0	0	0	0
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	1	0	59	1	0	0	0	1	1	3	0	0	0	0	0	0	0	2	3	4	3	0	1	0	1	0	1	0	1	1	0	2	12	0
docx	0	0	1	81	0	0	0	0	2	0	0	0	0	0	6	0	5	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	72	0	0	0	7	0	0	0	0	0	6	0	1	0	1	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	69	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	3	0	1	1	0	0	5	0	0	0	1
f	1	0	0	0	0	0	43	3	0	1	1	3	0	0	0	0	0	0	0	0	0	4	0	7	0	2	0	0	4	25	8	0	0	3
fits	0	1	2	0	0	0	2	81	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	0	9	0	1	1	0
gz	0	0	0	0	4	0	0	0	53	0	0	0	0	0	7	0	11	0	4	1	9	0	0	0	5	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	4	0	0	62	0	4	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	7	15	5	0	0	0
html	1	0	0	0	0	0	0	0	0	1	73	0	0	3	0	0	2	0	0	0	0	3	0	0	0	3	0	1	3	0	2	0	0	12
java	3	0	0	0	0	2	7	0	0	3	0	64	0	0	0	4	0	0	0	0	0	2	0	0	0	3	0	2	14	1	1	0	0	2
jpg	0	0	0	0	4	0	0	0	2	0	0	0	59	0	2	2	9	1	3	7	5	0	0	0	4	0	0	0	0	0	3	0	1	0
kml	0	0	0	0	0	4	0	0	0	0	0	4	0	69	0	4	0	0	0	0	0	1	0	0	0	1	1	2	1	0	2	0	0	10
kmz	0	0	0	0	14	0	0	0	11	0	0	0	0	0	66	0	1	2	1	1	9	0	0	0	2	0	0	0	0	0	0	0	0	0
log	1	0	0	0	0	3	2	0	0	1	1	3	0	2	0	54	0	0	0	0	0	5	0	6	0	4	0	5	2	4	0	1	0	3
pdf	1	0	0	0	0	5	0	2	8	0	0	0	2	3	8	0	49	0	1	2	7	7	0	0	5	0	1	0	1	0	0	1	0	0
png	0	0	0	0	6	0	0	0	4	0	0	0	1	0	5	0	5	55	3	5	10	0	0	0	5	0	0	0	0	0	0	1	0	0
pps	0	0	13	0	2	0	0	1	11	0	0	0	0	0	6	0	21	0	7	8	13	0	1	0	3	0	0	0	0	0	0	3	5	0
ppt	0	0	23	0	0	0	0	0	11	0	0	0	0	0	7	0	9	2	6	16	18	0	0	0	2	0	1	0	0	0	1	2	9	0
pptx	0	0	1	8	4	0	0	1	20	0	0	0	5	0	4	0	18	1	7	4	16	0	1	0	5	0	0	0	0	0	0	1	0	0
ps	1	0	0	0	0	18	0	0	2	0	0	2	0	0	0	1	1	0	0	0	0	61	1	1	0	0	0	4	1	3	0	0	0	0
rtf	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	4	80	1	0	1	0	0	0	1	1	1	0	2
sql	0	0	0	0	0	1	17	0	0	0	2	4	0	0	0	0	0	0	0	0	0	1	0	45	0	1	2	9	10	12	1	0	0	1
swf	0	0	0	0	2	0	0	0	7	0	0	0	1	0	6	0	12	1	2	2	19	0	0	0	38	0	0	0	0	0	0	5	1	0
tex	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	1	3	0	73	0	0	2	7	2	0	0	2
text	1	0	24	1	0	3	5	5	2	0	0	1	2	1	0	0	1	0	1	0	2	1	0	2	1	1	13	2	6	20	3	0	2	0
tmp	1	0	0	0	0	4	2	0	0	2	6	0	0	0	0	2	0	0	0	2	0	3	0	4	0	0	5	49	10	7	2	0	0	3
troff	1	0	0	0	0	2	9	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	55	26	0	0	0	0
txt	4	0	0	0	0	4	16	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	1	2	0	2	4	3	12	39	2	1	0	0
unk	1	0	4	0	0	5	12	3	1	1	0	3	2	3	0	0	3	0	1	0	2	5	2	0	0	1	3	2	3	12	27	0	3	1
wp	0	0	1	0	6	0	2	0	0	0	0	0	1	0	2	0	0	4	2	6	0	0	0	1	0	0	1	0	0	4	2	66	2	0
xls	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	1	0	1	0	0	0	0	0	61	0
xml	1	0	0	0	0	0	0	0	0	0	3	2	0	7	0	2	2	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	77
