Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
CCL	339776	all	61	10m01s	0.4306	0.376
CCLL	372800	all	68	10m05s	0.4674	0.421
CMCML	303040	all	59	10m05s	0.4442	0.425
CMCMLL	331840	all	57	10m05s	0.4658	0.41
CLL	298912	all	53	10m04s	0.4438	0.394
CML	268128	all	57	10m02s	0.4358	0.387
CLD	1249951	all	51	10m02s	0.6642	0.537
CD	1161759	all	47	10m06s	0.6462	0.422
CM	253983	all	17	10m32s	0.5814	0.452
CCM	255936	all	17	10m36s	0.5886	0.48
D	4063263	all	63	10m01s	0.7184	0.418
LD	38015	all	11	10m58s	0.163	0.173
CL	261795	all	60	10m04s	0.4478	0.411
