Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C64_1_1PR_C64_16_16PR_L32_D31_cat	95487	11	1m02s	0.154	0.136
C64_2_1PR_C64_16_16PR_L32_D31_cat	111871	10	1m02s	0.142	0.178
C64_4_1PR_C64_16_16PR_L32_D31_cat	144639	10	1m04s	0.146	0.148
C64_8_1PR_C64_16_16PR_L32_D31_cat	210175	9	1m04s	0.158	0.134
C64_16_1PR_C64_16_16PR_L32_D31_cat	341247	7	1m02s	0.172	0.164
