True	dbase3	docx	dwf	f	gz	html	java	log	pdf	ppt	pptx	ps	rtf	sql	swf	tex	text	troff	txt	unk	zip
dbase3	95	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
docx	0	22	12	0	16	0	0	0	6	1	17	0	0	0	10	0	0	0	0	0	18
dwf	0	1	16	0	5	0	0	0	5	1	20	0	0	0	28	0	0	0	0	0	26
f	5	0	0	25	0	0	8	12	0	0	0	2	1	7	0	2	0	11	20	8	0
gz	0	5	16	0	29	0	0	0	4	0	7	0	0	0	14	0	0	0	0	0	22
html	0	0	0	0	0	60	2	5	1	0	0	0	2	1	0	5	2	4	13	5	0
java	0	0	0	12	0	4	59	5	1	0	0	0	1	5	0	3	0	6	5	2	0
log	0	0	0	2	0	12	1	50	1	0	0	7	0	6	0	5	1	5	4	3	0
pdf	0	3	10	0	6	10	0	2	21	2	7	14	1	0	12	0	1	0	0	0	12
ppt	0	3	13	0	11	0	0	0	4	33	14	0	0	0	4	0	3	0	1	0	15
pptx	0	8	10	0	14	1	0	0	4	2	20	0	0	0	19	0	0	0	0	0	22
ps	0	1	0	1	0	2	1	1	4	0	0	79	6	0	1	0	0	3	3	0	1
rtf	0	0	0	0	0	0	0	0	2	1	1	2	76	0	1	5	0	0	9	1	0
sql	0	0	0	10	0	7	2	8	0	0	0	0	0	52	0	2	1	12	7	4	0
swf	0	1	9	0	12	1	0	0	6	6	13	0	0	0	32	0	1	0	0	0	18
tex	0	0	0	1	0	7	2	17	0	0	0	1	5	2	0	46	1	3	9	1	0
text	0	1	4	5	6	0	0	3	1	10	4	3	2	2	3	1	8	4	33	6	5
troff	0	0	0	10	0	10	1	2	0	0	0	6	0	1	0	1	1	45	14	5	0
txt	0	0	0	16	0	1	2	8	0	0	0	3	0	2	0	4	4	9	45	4	0
unk	2	0	3	10	5	6	7	3	1	8	2	2	3	2	3	3	2	6	26	9	1
zip	0	3	15	0	14	0	0	0	4	0	20	0	0	0	11	0	0	0	0	0	33
