True	dbase3	gif	html	java	log	ppt	pptx	swf	text	txt	xml
dbase3	97	0	0	0	0	0	0	0	0	3	0
gif	0	47	0	0	0	1	41	10	2	0	0
html	1	0	42	6	5	0	0	0	1	9	35
java	0	0	6	78	3	0	0	0	2	4	5
log	4	0	7	9	59	0	0	0	0	12	11
ppt	0	3	0	0	1	20	52	19	2	0	0
pptx	0	5	0	0	0	2	78	23	0	0	0
swf	0	5	0	0	0	10	59	21	2	0	0
text	2	4	6	2	2	9	15	12	12	35	2
txt	8	0	9	11	7	0	0	0	10	45	8
xml	0	0	13	5	9	0	0	0	0	2	70
