True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	log	pdf	png	pps	pptx	ps	rtf	swf	tex	text	tmp	txt	unk	wp	xls	xml
csv	72	0	3	0	0	2	1	0	0	0	0	10	2	0	7	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0
dbase3	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	14	1	0	0	5	1	1	0	0	0	1	1	0	1	0	3	2	0	3	1	0	9	0	2	0	0	56	0
docx	0	0	0	83	0	0	0	0	2	1	0	0	0	0	0	1	0	0	7	0	0	3	0	0	0	0	0	0	1	0
dwf	0	0	0	0	84	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0
eps	4	0	0	0	0	43	1	0	0	0	0	1	0	0	3	2	0	0	0	22	5	0	2	1	1	3	3	0	0	5
f	6	0	0	0	0	0	49	2	0	0	1	4	6	0	8	0	0	0	0	0	0	0	0	3	6	13	2	0	1	1
fits	0	0	0	0	0	2	6	59	3	3	0	0	0	0	0	1	3	1	3	2	0	6	0	2	1	5	3	0	3	0
gif	0	0	0	2	3	0	0	0	69	0	0	0	0	2	0	6	1	1	3	0	0	7	0	2	0	0	0	1	2	0
gz	0	0	0	2	2	0	0	0	0	59	0	0	0	0	0	0	0	2	29	0	0	12	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	10	2	0	0	59	0	5	0	0	0	0	0	0	0	0	0	0	2	3	7	4	0	0	0
html	3	0	0	0	0	1	2	0	0	0	0	70	2	0	0	1	0	0	0	2	1	0	0	0	2	0	6	0	0	16
java	0	0	0	0	0	0	7	0	0	0	0	2	82	0	11	0	0	0	0	0	0	0	0	0	3	0	1	0	0	3
jpg	0	0	0	1	1	0	0	0	1	2	0	0	0	73	0	1	1	3	4	0	0	6	0	0	0	0	0	5	1	0
log	5	0	0	0	0	1	0	2	0	0	0	3	2	0	54	0	0	0	0	4	0	0	4	1	1	1	1	0	0	6
pdf	0	0	0	0	2	4	0	1	2	5	0	2	0	0	3	54	3	2	10	3	0	7	0	2	1	0	0	0	0	1
png	0	0	0	1	1	0	0	0	3	0	0	0	0	4	0	2	68	0	14	0	0	8	0	0	0	0	0	2	0	0
pps	0	0	2	3	0	1	0	0	6	11	0	0	0	2	0	1	2	9	33	0	0	11	0	8	0	0	1	1	10	0
pptx	0	0	0	13	1	0	0	1	5	13	0	0	0	3	0	4	7	5	34	0	0	20	0	0	0	0	0	1	2	0
ps	4	0	0	0	0	17	1	3	0	0	0	6	4	0	5	0	0	0	0	45	5	0	3	2	0	1	1	0	0	1
rtf	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	3	82	0	2	0	0	0	0	0	0	0
swf	0	0	0	1	0	0	0	0	1	4	0	1	0	2	0	0	11	4	17	0	0	56	0	0	0	0	0	5	1	0
tex	1	0	0	0	0	0	5	0	0	0	0	5	2	0	4	0	0	0	0	2	0	0	77	0	5	0	0	0	0	0
text	1	0	2	2	1	4	10	2	5	3	0	3	1	0	2	0	1	2	3	0	1	4	1	29	4	10	1	1	7	0
tmp	5	0	0	0	0	0	2	0	0	0	1	2	0	0	18	0	0	3	0	0	0	0	1	5	54	2	4	0	0	0
txt	5	0	0	0	0	1	21	1	0	0	2	2	7	0	3	0	0	0	0	1	2	0	3	12	2	20	14	1	0	0
unk	4	0	1	0	0	0	12	10	0	0	1	2	6	2	2	1	2	1	4	2	2	0	0	11	2	2	26	0	10	0
wp	0	0	0	0	6	0	3	2	0	0	0	0	1	0	0	0	12	1	1	0	0	3	0	1	0	1	2	66	4	2
xls	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	9	0	0	0	0	78	0
xml	0	0	0	0	0	0	0	0	0	0	0	14	0	0	13	0	0	0	0	0	0	0	2	0	5	0	0	0	0	70
