True	docx	hlp	html	kml	pdf	pps	ps	tmp	troff	unk
docx	88	0	0	0	0	7	0	5	0	0
hlp	0	46	12	0	0	0	2	3	38	0
html	0	0	50	5	0	0	11	12	26	0
kml	0	0	24	62	0	0	0	12	2	0
pdf	53	0	7	0	14	10	13	1	3	0
pps	82	0	0	0	0	17	0	1	1	0
ps	2	0	3	0	0	0	81	4	11	0
tmp	0	1	19	0	1	0	20	50	9	0
troff	0	0	5	0	0	0	5	8	76	1
unk	8	2	21	1	2	7	6	11	29	10
