True	csv	dbase3	doc	f	gif	gz	html	java	jpg	log	pdf	png	ppt	ps	rtf	swf	txt	unk	xls	xml
csv	22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
dbase3	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	9	0	1	2	0	0	1	0	1	1	0	0	3	1	0	4	11	0
f	2	0	0	4	0	0	1	3	0	0	0	0	0	0	0	1	2	9	1	0
gif	0	0	0	0	11	4	0	0	1	0	2	4	0	0	0	2	0	0	0	0
gz	0	0	0	0	13	6	0	0	0	0	4	8	1	0	0	0	0	0	0	0
html	0	1	0	0	0	0	5	2	0	1	1	0	0	1	3	0	1	5	0	6
java	0	0	0	2	0	0	0	18	0	1	0	0	0	0	1	0	0	1	0	2
jpg	0	0	0	0	5	3	0	0	3	0	1	7	0	0	0	2	0	0	0	0
log	1	0	0	1	0	0	1	2	0	11	1	0	0	2	0	0	1	2	0	1
pdf	0	0	0	0	6	2	0	0	0	0	7	6	1	3	0	0	0	0	0	1
png	0	0	0	0	7	1	0	0	1	0	0	10	0	0	0	2	0	0	0	0
ppt	0	0	3	0	4	5	0	0	1	0	1	5	1	0	0	1	0	1	5	0
ps	0	0	0	2	0	0	0	0	0	1	1	0	0	17	1	0	0	1	0	0
rtf	0	0	0	0	0	0	0	0	0	0	0	0	0	6	24	0	1	0	0	1
swf	0	0	0	0	6	4	0	0	1	0	1	5	0	0	0	6	0	0	2	0
txt	2	0	0	0	0	0	0	2	0	1	1	0	0	1	2	0	4	5	0	0
unk	0	1	1	1	0	0	0	3	1	0	0	0	0	3	1	0	0	5	1	0
xls	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	13	0
xml	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	2	0	22
