Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C64_16_1PR_C32_32_4PR_C64_32_4PR_F_D31_cat	202943	14	2m09s	0.3816	0.3788
C64_16_2PR_C32_32_4PR_C64_32_4PR_F_D31_cat	171199	17	2m06s	0.406	0.375
