True	doc	eps	fits	gz	html	java	jpg	kml	log	pdf	png	pps	ppt	pptx	tex	txt	wp	xls
doc	61	0	0	3	3	0	0	0	4	1	1	0	0	3	7	4	7	4
eps	0	66	0	0	3	1	0	1	10	5	0	0	2	0	3	3	1	0
fits	7	0	72	1	0	1	5	0	3	3	1	0	1	7	0	2	1	1
gz	1	0	0	33	0	0	14	0	0	3	7	1	0	43	0	0	0	0
html	0	1	0	0	43	7	0	9	7	1	0	0	0	0	19	4	4	2
java	0	0	0	0	2	81	0	1	5	0	0	0	0	0	10	2	0	0
jpg	0	0	1	26	0	0	24	1	0	2	9	0	0	42	0	0	1	0
kml	0	0	2	0	6	1	0	98	0	0	0	0	0	0	0	2	0	1
log	0	1	1	0	5	7	0	9	56	2	0	0	0	0	7	3	0	0
pdf	1	6	0	17	3	0	6	1	2	15	8	0	1	37	2	1	0	0
png	1	0	0	22	0	0	15	0	0	2	13	0	0	48	0	0	0	0
pps	9	0	3	27	0	0	11	0	0	2	8	5	4	32	0	0	1	2
ppt	10	0	2	18	0	1	13	0	0	2	4	7	8	27	1	0	2	0
pptx	1	0	1	21	0	0	6	0	0	3	6	0	0	64	0	0	1	0
tex	0	0	0	0	3	3	0	1	9	0	0	0	0	0	77	2	4	0
txt	2	1	2	0	1	10	0	8	18	0	0	0	0	0	29	23	4	3
wp	9	0	4	0	1	1	0	0	0	0	1	0	1	1	5	0	75	1
xls	30	0	1	1	0	1	0	0	0	0	1	3	2	1	0	0	3	50
