True	csv	doc	pdf	png	pps	rtf	tex	text	tmp	unk	xml
csv	82	0	0	0	0	0	11	0	5	2	0
doc	1	81	0	1	6	1	0	4	0	1	0
pdf	0	0	75	5	20	2	0	0	2	0	1
png	0	3	5	73	21	0	0	3	0	2	0
pps	0	19	9	6	57	0	0	3	0	5	0
rtf	1	3	0	0	0	82	4	0	0	5	1
tex	3	0	0	0	0	0	86	6	1	16	0
text	1	14	3	0	6	1	3	43	7	16	0
tmp	4	0	4	0	1	1	7	2	59	10	5
unk	3	5	4	2	0	0	1	26	0	64	0
xml	3	0	2	0	0	1	7	2	0	2	77
