True	doc	eps	gif	kml	pdf	png	ps	sql	swf	tex	txt	wp
doc	46	0	2	0	2	2	0	3	21	1	20	7
eps	0	59	0	0	2	0	31	1	0	1	4	0
gif	2	0	54	0	4	15	0	0	26	0	0	0
kml	0	0	0	91	0	0	1	3	0	5	2	0
pdf	1	2	11	4	38	20	6	0	15	1	1	0
png	1	0	12	0	19	30	0	0	34	0	0	1
ps	0	27	0	2	1	0	63	1	2	1	4	0
sql	0	1	0	0	1	1	3	70	0	10	13	0
swf	1	0	10	0	18	15	0	0	52	0	0	3
tex	0	0	0	0	0	0	5	6	0	65	25	0
txt	0	4	0	1	1	0	0	9	0	9	76	0
wp	7	0	1	0	0	0	0	1	3	1	25	61
