True	csv	dbase3	doc	f	gif	gz	html	log	pdf	ppt	rtf	swf	txt
csv	67	3	2	2	0	0	2	18	0	0	0	1	5
dbase3	0	99	1	0	0	0	0	0	0	0	0	0	0
doc	0	0	71	1	0	5	1	8	2	2	0	6	4
f	4	3	5	23	0	0	11	38	0	0	0	0	16
gif	0	1	2	1	28	20	0	0	18	4	0	26	0
gz	0	0	0	0	3	57	0	0	16	12	0	12	0
html	1	5	6	1	0	0	49	30	3	0	1	0	4
log	0	2	0	1	0	0	8	85	0	0	0	0	4
pdf	0	5	0	0	1	23	2	11	40	7	2	8	1
ppt	0	2	23	0	5	37	0	0	16	4	3	9	1
rtf	0	0	5	0	0	0	4	9	0	0	79	0	3
swf	0	0	3	0	5	31	1	0	24	8	0	28	0
txt	2	6	8	2	0	0	6	39	1	0	0	0	36
