True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	66	0	0	0	0	0	5	1	0	0	1	3	0	0	0	0	6	0	0	0	0	0	0	1	4	0	3	2	1	7	2	0	0	0	0
dbase3	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
doc	1	0	47	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	14	5	3	0	0	0	1	0	0	0	0	0	0	1	32	0
docx	0	0	0	72	0	0	0	0	1	6	0	0	0	0	0	0	0	0	1	1	1	19	0	0	0	1	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	91	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	1	0	0	0	1	1	0	0
eps	1	0	0	0	0	60	0	3	0	0	0	1	0	0	1	0	4	2	0	0	0	0	13	0	1	0	0	1	1	3	5	0	0	0	0
f	2	0	0	0	0	0	31	6	0	0	1	1	3	0	1	0	3	0	0	0	0	0	2	1	11	0	0	0	1	10	13	3	3	0	0
fits	0	0	0	0	0	0	2	67	2	0	0	0	0	0	0	0	0	2	2	0	1	2	0	0	0	2	0	2	1	0	5	2	0	0	0
gif	0	0	2	0	2	0	0	0	75	0	0	0	0	0	0	0	0	8	5	0	1	3	0	0	0	5	0	0	0	0	0	0	1	0	0
gz	0	0	0	0	4	0	0	0	0	52	0	0	0	0	0	5	0	7	0	0	2	13	0	0	0	7	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	8	0	0	0	63	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	6	4	2	0	1
html	4	0	0	0	0	1	5	1	0	0	0	42	1	0	8	0	1	4	0	0	0	0	1	0	1	0	2	0	0	3	0	5	0	0	13
java	2	0	0	0	0	1	4	0	0	0	1	2	48	0	5	0	6	0	0	0	0	0	3	7	2	0	8	0	0	3	2	4	0	0	4
jpg	0	0	1	0	2	0	0	2	3	1	0	0	0	67	0	0	0	1	1	6	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0
kml	0	0	0	0	0	0	0	0	0	0	0	0	4	0	74	0	6	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	12
kmz	0	0	0	0	14	0	0	0	0	20	0	0	0	0	0	55	0	0	5	0	0	11	0	0	0	2	0	0	0	0	0	0	2	0	0
log	0	0	0	0	0	1	0	0	0	0	0	5	4	0	4	0	68	0	0	0	0	0	2	0	3	0	4	0	2	5	2	3	0	0	2
pdf	0	0	0	0	2	0	0	1	5	4	0	3	1	0	1	2	3	47	2	0	2	15	3	0	0	4	0	0	0	1	0	1	0	0	0
png	0	0	0	0	0	0	0	1	13	4	0	0	0	1	0	3	0	2	55	0	0	16	0	0	0	5	0	1	0	0	0	0	0	2	0
pps	0	0	10	0	4	0	0	1	0	11	0	0	0	0	0	0	0	5	4	5	9	33	0	0	0	8	0	2	0	0	0	1	3	4	0
ppt	0	0	16	0	1	0	0	1	1	11	0	0	0	0	0	1	0	3	1	4	8	27	0	0	0	8	0	0	0	0	0	0	7	7	0
pptx	0	0	0	4	4	0	0	0	3	21	0	0	0	0	0	2	0	7	5	0	4	40	0	0	0	19	0	0	0	0	0	1	0	0	0
ps	4	0	0	0	0	19	0	3	0	0	0	2	3	0	0	0	10	2	0	0	0	0	38	8	2	0	2	0	5	1	1	1	0	0	0
rtf	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	2	88	0	0	0	0	0	0	0	0	0	0	0
sql	10	0	0	2	0	0	20	2	0	0	6	0	1	0	3	0	1	0	0	0	0	0	0	0	36	0	1	5	0	4	5	1	0	0	1
swf	0	0	0	0	9	3	0	0	6	11	0	0	0	2	0	0	0	4	13	1	0	21	0	0	0	35	0	0	0	0	0	0	1	2	0
tex	0	0	0	0	0	1	3	0	0	0	1	0	3	0	2	0	2	0	0	0	0	0	0	0	2	0	82	0	2	0	1	2	0	0	3
text	0	0	14	0	1	3	4	6	1	3	1	1	0	0	0	0	4	1	1	4	0	4	0	1	6	1	0	23	0	5	5	3	0	7	0
tmp	1	0	0	2	0	1	6	0	3	0	0	0	1	0	0	0	6	3	0	2	0	0	0	0	14	0	1	2	39	3	5	8	0	0	4
troff	1	0	0	0	0	0	5	0	0	0	1	0	2	0	0	0	4	0	0	0	0	0	2	0	3	0	0	2	0	71	9	1	0	0	0
txt	2	0	0	0	0	0	8	13	0	0	7	0	1	0	0	0	2	0	0	0	0	0	2	0	3	0	2	5	7	9	17	13	0	0	1
unk	0	0	3	0	0	1	17	1	2	0	3	1	4	0	0	0	1	3	0	1	0	0	2	1	3	0	1	2	1	5	7	29	2	8	3
wp	0	0	1	1	6	0	0	0	1	0	2	0	0	0	0	0	0	0	11	1	0	0	0	1	0	0	0	0	0	1	2	2	73	4	0
xls	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	1	0	2	0	0	0	2	0	76	0
xml	0	0	0	0	0	3	1	0	0	0	0	12	4	0	13	0	6	1	0	0	0	0	0	5	0	0	1	0	0	0	0	1	0	0	51
