Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
D	67109376	14	10m14s	0.1	0.111
LD	53888	11	10m57s	0.0	0.0
CL	1081347	76	10m06s	1.0	1.0
CCL	1509568	100	10m05s	0.073	0.067
CCLL	1542592	90	10m02s	0.002	0.001
CMCML	1411264	103	10m00s	0.0	0.0
CMCMLL	1501632	87	10m02s	0.286	0.241
CLL	1468704	60	10m08s	1.0	1.0
CML	1345568	73	10m05s	0.599	0.73
CLD	1312000	83	10m00s	0.009	0.014
CD	2916928	119	10m01s	0.996	0.995
CMCMLAD	357376	164	10m00s	0.0	0.0
CCLAD3	398336	9	10m15s	0.0	0.0
CCCLAD4	107408	10	11m00s	0.0	0.0
