True	dbase3	doc	docx	dwf	f	fits	gif	gz	hlp	html	java	jpg	kml	log	pdf	png	ppt	pptx	sql	tex	text	tmp	troff	txt	wp	xml
dbase3	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	77	1	0	2	0	1	3	0	0	0	1	0	0	0	0	10	0	0	0	2	0	0	2	3	0
docx	0	0	89	3	0	0	1	5	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0
dwf	0	0	0	77	0	0	0	12	0	0	0	1	0	0	0	1	2	5	0	0	0	0	0	0	1	0
f	0	0	0	0	35	4	0	0	7	2	10	0	0	3	0	0	0	0	8	0	10	2	4	14	0	0
fits	0	1	0	1	0	80	1	0	1	0	0	3	0	0	0	2	1	3	0	0	3	1	0	5	0	0
gif	0	0	5	2	0	0	72	1	0	0	0	0	0	0	3	6	3	2	0	0	4	0	0	0	1	0
gz	0	0	2	2	0	0	0	67	0	0	0	1	0	0	1	3	6	17	0	0	0	0	0	0	0	0
hlp	0	0	0	0	9	0	0	0	60	0	2	0	0	0	0	0	0	0	5	0	3	0	2	13	4	0
html	0	0	0	0	5	2	0	0	0	69	1	0	5	3	0	0	0	0	0	2	2	2	1	5	0	6
java	0	0	0	0	10	0	0	0	1	0	70	0	1	4	0	0	0	0	0	6	0	4	4	1	0	0
jpg	0	5	0	0	0	0	4	5	0	2	0	60	0	0	3	3	6	6	0	0	4	0	0	0	0	0
kml	0	0	0	0	0	0	0	0	0	10	4	0	73	1	0	0	0	0	2	0	0	0	0	1	0	5
log	0	0	0	0	5	1	0	0	0	2	5	0	5	63	1	0	0	0	1	5	0	4	0	4	1	5
pdf	0	0	1	5	0	1	7	12	0	0	0	1	1	2	48	3	3	9	0	0	3	1	0	0	0	1
png	0	2	0	5	0	1	7	11	0	0	0	1	0	0	0	55	5	10	0	0	0	0	0	0	4	0
ppt	0	21	0	7	0	0	2	22	0	0	0	3	0	0	3	2	14	14	0	0	3	0	0	0	5	0
pptx	0	4	10	1	0	0	3	27	0	0	0	3	0	0	4	6	10	32	0	0	0	0	0	0	2	0
sql	0	4	2	0	20	0	0	0	2	6	1	0	0	0	0	0	0	0	30	9	4	3	9	11	1	1
tex	0	0	0	0	3	0	0	0	0	0	1	0	0	4	0	0	0	0	4	83	0	2	0	3	0	0
text	0	20	0	2	2	8	1	0	1	2	1	1	1	1	1	2	2	0	7	2	27	0	1	13	0	1
tmp	0	1	7	0	5	0	0	0	2	7	0	0	2	3	4	1	0	0	9	2	0	40	0	15	1	0
troff	0	0	0	0	15	3	0	0	0	5	7	0	0	1	4	0	0	0	1	1	5	3	47	6	1	0
txt	0	0	0	0	16	11	0	0	1	1	6	0	0	2	0	0	0	0	4	2	6	5	3	43	2	0
wp	0	5	0	3	1	0	2	0	0	1	0	0	0	0	0	2	2	1	0	0	0	0	1	3	79	0
xml	0	0	0	0	0	0	0	0	0	21	2	0	13	4	0	0	0	0	0	2	0	0	0	0	0	62
