Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C64_16_2PR_C64_4_1PR_C64_32_4PR_F_D31_cat	282847	14	2m03s	0.4066	0.3744
C64_16_2PR_C64_4_2PR_C64_32_4PR_F_D31_cat	219359	16	2m01s	0.4058	0.3818
C64_16_2PR_C64_4_4PR_C64_32_4PR_F_D31_cat	187615	18	2m02s	0.4164	0.3744
