True	dbase3	f	gif	gz	jpg	png	ps	rtf	swf	txt	unk	xls	xml
dbase3	39	0	0	0	0	0	0	0	0	0	0	0	0
f	2	18	0	0	0	0	1	2	0	8	3	1	6
gif	1	0	16	3	3	6	0	0	3	0	0	1	0
gz	0	0	0	13	16	9	1	0	3	0	0	0	0
jpg	0	0	1	9	16	10	0	0	6	0	0	0	0
png	0	0	6	8	7	13	0	0	5	0	0	1	0
ps	0	1	0	0	0	0	33	0	0	0	0	1	2
rtf	0	1	0	0	0	0	5	16	0	5	2	0	1
swf	0	0	2	6	6	9	0	0	10	0	0	7	0
txt	2	3	0	0	0	0	12	0	0	9	2	2	8
unk	2	6	0	0	3	0	2	0	1	11	6	3	5
xls	0	0	0	0	0	0	0	0	0	1	0	41	0
xml	0	4	0	0	0	0	1	0	0	1	1	0	30
