True	doc	f	gif	gz	jpg	png	ppt	tex	tmp	txt	unk	xls
doc	43	3	1	5	5	1	12	0	0	2	20	10
f	0	42	0	0	0	0	0	9	16	10	25	0
gif	0	0	61	12	10	14	1	0	0	0	0	0
gz	0	0	10	44	27	15	3	0	0	0	0	0
jpg	0	0	10	30	39	13	5	0	0	0	0	0
png	0	0	17	30	30	19	4	0	0	0	0	0
ppt	6	0	14	29	20	7	22	0	0	0	1	4
tex	0	6	0	0	0	0	0	68	11	5	9	0
tmp	0	1	0	0	0	0	0	3	78	5	9	0
txt	0	15	0	0	0	0	0	3	37	8	37	0
unk	6	13	2	3	0	2	4	9	13	10	41	1
xls	26	1	1	2	0	0	7	1	0	0	7	55
