True	f	fits	hlp	java	pdf	swf	tex	text	troff	xls
f	21	8	12	21	0	0	10	6	21	2
fits	0	80	1	0	2	7	0	0	0	10
hlp	4	2	76	4	0	0	3	6	8	0
java	2	0	3	81	0	0	8	0	7	1
pdf	0	0	0	1	63	28	1	1	3	1
swf	0	4	0	0	47	47	0	1	0	1
tex	4	0	1	3	0	0	79	6	7	0
text	6	6	5	2	15	16	11	18	11	7
troff	6	0	1	6	2	0	12	2	71	0
xls	0	1	1	0	4	1	0	4	1	87
