True	doc	dwf	gif	gz	hlp	java	kml	png	pptx	tmp	unk
doc	94	1	1	0	0	1	0	0	0	0	2
dwf	1	81	4	10	0	0	0	2	3	0	0
gif	3	1	87	3	0	0	0	2	8	2	0
gz	0	3	2	83	0	0	0	2	11	0	0
hlp	0	0	0	0	70	8	0	0	0	4	16
java	0	0	0	0	2	79	3	0	0	3	9
kml	0	0	0	0	0	4	91	0	0	0	1
png	0	9	12	8	0	0	0	59	7	0	0
pptx	6	7	6	38	0	0	0	8	30	2	1
tmp	5	0	0	0	5	0	8	0	0	68	19
unk	13	2	2	1	3	6	1	0	1	11	65
