True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	69	0	0	0	0	0	3	1	0	0	1	4	0	0	0	0	9	0	0	0	0	0	4	1	4	0	2	0	1	8	0	2	0	0	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	64	3	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	1	0	0	1	1	2	8	0
docx	0	0	0	71	1	0	0	1	0	8	0	0	0	0	0	3	0	0	0	3	3	9	0	0	0	1	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	63	0	0	1	2	4	0	0	0	0	0	15	0	1	2	2	1	4	0	0	0	5	0	1	0	0	0	0	0	0	0
eps	1	0	0	0	0	55	1	0	0	0	2	1	1	0	0	0	2	0	0	0	0	0	21	0	0	0	3	1	0	0	11	0	0	0	0
f	1	0	0	0	0	0	23	3	0	0	6	5	7	0	0	0	2	0	0	0	0	0	8	1	6	0	1	1	0	14	23	4	0	0	0
fits	0	0	1	0	1	0	4	73	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	3	0	4	1	2	6	5	1	0	0
gif	0	0	1	3	3	0	0	3	64	1	0	0	0	5	0	0	0	2	0	4	1	0	0	0	0	6	0	1	0	0	0	0	3	0	0
gz	0	0	0	0	1	0	0	0	0	43	0	0	0	4	0	10	0	2	0	13	4	21	0	0	0	3	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	3	0	0	0	59	2	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	2	14	4	3	0	0
html	0	0	0	0	0	0	5	2	0	0	0	56	1	0	4	0	4	0	0	0	0	0	3	0	1	0	2	0	0	4	4	2	0	0	10
java	0	0	0	0	0	0	1	0	0	0	4	5	58	0	2	0	7	0	0	0	0	0	2	1	0	0	6	1	0	2	3	4	0	0	0
jpg	0	0	2	1	1	0	0	0	0	2	0	0	0	72	0	0	0	0	0	1	1	10	0	1	0	4	0	0	0	0	0	0	0	0	0
kml	0	0	0	0	0	0	0	0	0	0	0	3	2	0	75	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	12
kmz	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	67	0	0	1	7	2	6	0	0	0	1	0	0	0	0	0	0	2	0	0
log	3	0	1	0	0	2	2	0	0	0	0	4	6	0	4	0	55	0	0	0	0	0	11	2	2	0	2	1	3	1	2	1	0	0	1
pdf	0	0	0	0	1	4	0	3	2	7	0	0	0	4	0	3	5	44	3	5	3	11	5	0	0	0	0	1	1	0	0	2	0	0	0
png	0	0	0	3	8	0	0	0	5	0	0	2	0	1	0	10	0	1	50	5	1	9	0	0	0	4	0	1	0	0	0	0	5	0	0
pps	0	0	12	0	0	0	0	2	1	10	0	0	0	3	0	3	0	2	0	9	7	23	0	1	0	8	0	2	0	0	0	0	4	11	0
ppt	0	0	25	0	0	0	0	1	3	3	0	0	0	0	0	4	0	2	3	6	16	20	0	0	0	4	0	1	0	0	0	0	3	8	0
pptx	0	0	2	4	1	0	0	1	8	13	0	0	0	0	0	10	0	2	3	17	4	31	0	0	0	10	0	0	0	0	0	0	3	1	0
ps	0	0	0	0	0	13	1	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	72	0	4	0	0	0	0	0	7	2	0	0	0
rtf	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	5	82	0	0	5	2	0	0	1	1	0	0	1
sql	6	0	2	1	0	0	5	0	0	0	7	0	5	0	0	0	1	0	0	0	0	0	8	0	48	0	3	2	0	4	9	3	2	0	0
swf	0	0	2	1	0	0	0	3	1	4	0	0	0	2	0	4	0	1	7	10	6	21	0	0	0	39	0	0	0	0	0	0	2	0	0
tex	0	0	0	0	0	0	2	0	0	0	2	0	2	0	1	0	6	0	0	0	0	0	2	0	5	0	70	2	0	0	5	2	0	0	1
text	0	0	26	2	0	0	3	7	0	0	1	0	0	1	0	0	2	0	0	3	3	2	3	0	1	0	0	20	1	9	10	3	0	0	0
tmp	3	0	3	2	0	1	4	0	2	0	0	1	1	0	0	0	2	2	0	0	0	0	5	1	5	0	0	2	48	0	13	1	0	0	0
troff	2	0	0	0	0	0	2	2	0	0	4	14	3	0	0	0	1	0	0	0	0	0	5	0	2	0	0	0	0	55	5	3	0	0	0
txt	5	0	0	0	0	0	17	7	0	0	3	0	2	0	2	0	1	0	0	0	0	0	2	1	4	0	0	2	3	5	40	11	0	0	0
unk	1	0	5	0	1	2	8	6	1	0	3	0	7	0	0	0	0	0	0	0	0	0	4	0	3	0	1	0	3	3	12	29	0	1	0
wp	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	1	1	1	0	0	0	3	5	75	0	0
xls	0	0	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	67	0
xml	0	0	0	0	0	2	3	0	0	0	0	4	2	0	8	0	4	0	0	0	0	0	4	0	2	0	1	0	0	1	0	0	0	0	65
