True	csv	dbase3	dwf	java	kmz	pdf	png	ppt	pptx	text	troff	wp
csv	78	0	0	0	0	4	0	0	0	5	12	2
dbase3	0	98	0	0	0	0	0	0	0	0	2	0
dwf	0	0	25	0	5	6	17	20	16	0	0	1
java	0	0	0	70	0	0	0	0	0	14	11	3
kmz	0	0	8	0	31	6	13	23	19	0	0	2
pdf	1	0	8	1	7	32	12	16	14	0	5	2
png	0	0	27	0	10	4	30	14	20	0	0	0
ppt	1	0	15	0	10	5	12	42	8	2	0	8
pptx	0	0	15	0	14	5	11	26	30	1	0	2
text	5	4	4	0	7	12	3	4	6	22	11	22
troff	3	1	0	5	0	5	0	0	0	11	67	8
wp	0	0	2	0	0	0	0	9	0	3	1	84
