True	doc	dwf	gif	gz	hlp	jpg	kmz	log	pdf	pps	ppt	pptx	ps	rtf	sql	swf	txt	xml
doc	57	4	4	1	1	0	2	3	1	0	4	5	0	1	1	1	13	2
dwf	0	38	14	5	0	3	0	0	2	6	0	20	0	0	1	9	0	0
gif	1	9	69	4	0	1	2	0	0	3	2	8	0	0	0	3	0	0
gz	0	29	11	16	0	3	8	0	3	8	0	23	0	0	0	3	0	0
hlp	0	0	0	0	66	0	0	3	0	0	0	0	0	2	4	0	26	1
jpg	1	36	14	9	2	4	3	0	2	3	0	18	0	0	0	8	0	0
kmz	1	34	15	10	0	5	14	0	0	8	0	7	0	0	0	1	0	0
log	0	0	0	0	1	0	0	61	0	0	0	0	2	0	3	0	16	16
pdf	0	18	12	11	1	4	0	0	17	7	0	16	7	0	0	5	0	3
pps	8	15	13	7	1	3	2	0	3	3	17	20	0	1	0	4	0	0
ppt	7	21	6	7	0	2	5	0	1	6	26	12	1	0	0	5	1	0
pptx	1	25	21	9	0	5	4	0	3	6	1	20	0	0	0	8	0	0
ps	0	2	0	0	0	0	0	5	3	0	0	0	81	1	1	1	7	2
rtf	1	0	1	0	0	0	0	0	1	0	1	0	7	75	0	1	7	1
sql	3	1	0	0	4	0	0	12	0	0	0	0	4	0	61	0	8	5
swf	1	23	23	5	0	3	0	0	4	6	7	10	0	0	0	18	0	0
txt	0	0	0	0	7	0	0	9	2	0	0	0	9	2	6	0	66	1
xml	0	0	0	0	2	0	0	4	1	0	0	0	0	2	4	0	13	75
