True	csv	dbase3	doc	f	fits	gif	html	java	jpg	kmz	log	png	ppt	pptx	ps	rtf	sql	swf	text	tmp	txt	unk	wp	xls	xml
csv	69	3	0	3	0	0	4	0	0	0	6	0	0	0	2	0	10	0	1	4	3	1	0	0	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	45	3	1	0	0	0	0	13	0	2	0	2	0	2	1	2	0	0	4	1	4	18	1
f	1	0	0	31	0	0	5	3	0	0	4	0	0	0	7	0	7	0	3	10	10	12	0	1	1
fits	0	1	0	3	59	5	1	0	1	6	0	2	0	2	4	0	0	3	1	1	8	5	0	6	0
gif	0	0	0	0	0	53	0	0	4	15	0	12	1	10	0	0	0	4	0	0	0	0	1	0	0
html	0	2	5	2	0	0	46	7	0	0	1	0	0	0	4	1	0	0	0	6	4	5	0	0	17
java	0	0	0	10	0	0	6	69	0	0	0	0	0	0	0	1	7	0	0	2	1	1	0	0	4
jpg	0	0	0	0	0	10	0	0	13	36	0	16	1	9	0	0	0	7	0	0	0	1	2	0	1
kmz	0	0	0	0	0	9	0	0	11	39	0	19	4	12	0	0	0	2	2	0	0	0	0	0	0
log	0	1	0	4	0	0	3	1	0	0	33	0	0	0	12	0	3	0	0	36	0	1	0	0	10
png	0	0	0	0	0	15	0	0	3	25	0	29	3	13	0	0	0	3	0	1	0	0	1	0	0
ppt	0	0	16	0	2	2	0	0	12	30	0	9	11	9	0	0	0	4	2	0	0	0	2	5	0
pptx	0	0	1	0	0	11	0	0	5	48	0	14	3	10	0	0	0	6	0	0	0	0	2	0	0
ps	0	0	1	1	0	0	0	1	0	0	1	0	0	0	84	2	1	0	1	9	0	2	0	0	1
rtf	0	0	5	2	0	0	2	0	0	0	0	0	0	0	3	74	0	0	1	2	5	5	0	0	2
sql	0	0	4	10	0	0	5	2	0	1	4	0	0	0	0	0	57	0	0	8	2	1	0	0	4
swf	0	0	2	0	0	14	0	0	6	26	0	9	2	14	0	0	0	11	0	0	0	0	5	1	0
text	0	0	15	8	2	2	4	1	4	9	2	3	2	3	4	0	2	2	3	9	10	4	4	6	2
tmp	0	0	0	1	0	0	3	1	0	0	9	0	0	0	7	1	10	0	0	61	3	1	0	0	2
txt	2	0	1	14	0	0	9	1	0	0	7	0	0	0	11	0	6	0	5	16	24	5	0	0	0
unk	0	0	8	7	1	1	13	7	1	3	0	0	1	1	0	2	3	0	5	3	9	22	6	4	2
wp	1	0	13	3	0	0	4	0	0	0	1	1	1	1	0	1	0	0	2	0	7	4	61	1	0
xls	0	0	17	1	1	0	0	0	0	2	0	0	3	0	0	0	3	0	1	0	3	1	5	66	1
xml	0	0	1	1	0	0	23	6	0	0	3	0	0	0	0	1	2	0	0	5	1	2	0	0	56
