True	csv	doc	eps	f	gif	gz	hlp	pdf	pptx	ps	sql	swf	xml
csv	73	0	3	7	0	0	2	0	0	1	5	0	2
doc	0	66	3	2	2	2	1	0	7	0	8	7	4
eps	1	1	78	5	0	0	0	2	0	7	2	1	0
f	0	4	9	48	0	0	17	1	0	0	15	0	4
gif	0	2	0	0	59	11	0	0	12	0	0	18	0
gz	0	0	0	0	13	41	0	1	32	0	0	15	0
hlp	0	1	0	9	0	0	84	0	0	0	7	0	4
pdf	0	0	10	0	13	17	5	10	24	4	1	11	6
pptx	0	1	0	0	12	33	0	1	43	0	0	11	0
ps	0	0	62	4	1	1	0	5	3	24	0	0	1
sql	4	1	0	17	0	0	2	0	1	0	68	0	11
swf	0	5	0	1	10	20	0	2	38	0	0	21	0
xml	4	0	6	1	1	0	4	1	0	1	2	0	77
