True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	65	4	0	0	0	1	3	0	0	0	0	6	0	0	2	0	5	0	0	0	0	1	0	0	0	3	7	0	2	0	0	0	0	0
dbase3	0	97	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
doc	0	0	41	0	0	0	0	0	2	4	0	1	0	2	0	0	0	0	3	2	1	4	1	5	0	0	0	0	1	1	6	22	0	4
docx	0	0	2	11	6	0	0	0	9	12	0	0	0	16	0	7	0	0	10	6	0	0	0	0	0	0	0	0	0	0	1	3	0	19
dwf	0	0	0	1	8	0	0	1	12	18	0	0	0	14	0	5	0	1	6	6	0	0	0	2	0	0	0	0	0	0	1	0	0	23
eps	2	0	0	0	0	51	1	1	1	0	0	3	2	0	0	0	4	2	0	1	0	9	0	0	0	3	11	0	4	1	0	0	0	0
f	1	4	1	0	0	0	25	1	0	0	5	2	18	0	0	0	6	0	0	0	0	4	4	0	0	6	5	5	7	5	3	0	0	0
fits	0	5	1	0	1	0	0	56	8	1	0	0	0	1	0	1	1	3	1	1	0	1	0	2	0	0	3	0	0	2	2	5	1	1
gif	0	0	0	0	3	0	0	1	59	8	0	0	0	4	0	3	0	1	5	3	0	0	0	1	0	0	0	0	0	0	0	0	0	6
gz	0	0	0	1	7	0	0	0	6	35	0	0	0	18	0	6	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	18
hlp	0	0	0	0	0	0	2	4	0	0	73	0	5	0	0	0	1	0	0	0	0	3	2	0	1	0	2	0	0	5	1	0	1	0
html	1	0	0	0	0	0	1	0	0	0	3	28	2	0	11	0	8	1	0	0	0	11	1	0	0	1	3	1	0	0	1	0	29	0
java	0	0	1	0	0	0	3	1	0	0	1	3	61	0	0	0	8	0	0	0	0	2	2	0	0	0	2	1	2	0	1	0	11	0
jpg	0	0	0	1	5	0	0	0	8	25	0	0	0	16	0	7	0	1	6	6	0	0	0	5	0	2	0	0	0	0	0	0	0	16
kml	0	0	0	0	0	0	0	0	0	0	0	1	0	0	77	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	12	0
kmz	0	0	1	4	4	0	0	0	7	28	0	0	0	12	0	14	0	0	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	17
log	0	2	0	0	0	1	3	1	0	0	0	6	2	0	8	0	40	1	0	0	0	6	4	0	0	0	18	1	0	2	0	0	4	0
pdf	0	0	1	2	5	2	0	0	11	18	0	0	0	6	1	5	2	15	7	6	0	0	0	2	0	0	0	0	0	1	0	0	0	15
png	0	0	0	3	2	0	0	0	17	15	0	0	0	14	0	10	0	1	20	3	0	0	0	1	0	0	0	0	0	0	0	0	0	18
pps	0	0	11	0	1	1	0	0	7	19	0	0	0	12	0	4	0	1	7	12	4	0	0	0	0	0	0	0	0	0	2	1	0	22
ppt	0	0	11	1	4	0	0	0	10	13	0	0	0	8	0	4	0	3	6	10	7	0	0	2	0	1	0	0	0	1	2	4	0	13
rtf	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	87	0	0	0	0	0	0	0	0	2	0	1	0
sql	2	1	0	0	0	0	10	0	0	0	0	1	10	1	0	0	2	0	0	0	0	0	51	0	0	0	6	9	0	5	2	0	4	0
swf	0	0	1	0	5	0	0	0	13	18	0	0	0	10	0	3	0	1	8	4	0	0	0	6	0	1	0	0	0	0	5	1	0	26
tex	0	0	0	0	0	0	0	0	0	0	6	7	2	0	2	0	8	0	0	0	0	14	3	0	25	1	7	0	0	2	5	0	25	0
text	1	0	7	1	6	0	2	4	9	8	3	0	2	2	0	0	1	4	1	2	0	6	3	1	0	9	3	6	3	5	3	5	0	3
tmp	0	0	1	0	0	0	0	0	0	0	0	4	1	0	1	0	25	2	0	0	0	6	4	0	0	1	43	0	2	1	0	1	3	0
troff	3	1	0	0	0	1	11	0	0	0	0	2	1	0	0	0	5	1	0	0	0	6	3	0	0	3	13	36	10	2	2	0	2	0
txt	6	2	0	0	0	0	4	7	0	0	4	7	4	0	1	2	3	0	0	0	0	15	0	0	1	12	10	0	10	5	6	0	0	0
unk	0	2	4	0	1	0	4	6	1	1	5	5	9	0	0	0	7	0	0	1	0	5	0	0	2	4	6	3	5	13	8	6	2	0
wp	0	0	1	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	1	3	0	6	0	1	0	0	0	0	4	1	73	3	0	0
xls	0	0	10	0	0	0	2	0	1	1	1	0	1	0	0	1	0	0	1	2	2	0	1	0	0	0	1	0	0	4	4	67	0	1
xml	0	0	0	0	0	0	0	0	0	0	1	14	0	0	26	0	3	0	0	0	0	7	0	0	0	0	4	0	2	0	1	0	42	0
zip	0	0	0	0	4	0	0	0	4	27	0	0	0	14	0	9	0	1	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	37
