True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	81	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	3	0	1	0	0	9	2	0	0	0	0
dbase3	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
doc	0	0	37	1	1	0	0	0	0	7	1	0	1	2	0	0	0	0	0	0	5	0	0	2	1	0	1	1	1	1	1	1	2	32	0
docx	0	0	5	26	8	0	0	0	6	29	0	0	0	21	0	6	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
dwf	0	0	0	9	17	0	0	2	5	36	0	0	0	7	0	11	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
eps	1	0	0	0	0	59	0	1	0	0	1	0	5	0	1	0	7	2	0	1	0	0	10	3	1	0	0	0	2	4	5	0	0	0	0
f	4	4	0	1	0	3	19	3	0	0	4	0	16	0	0	0	9	0	0	0	0	0	0	0	1	0	4	2	6	17	7	3	0	0	0
fits	0	1	0	0	4	1	1	61	2	6	4	0	0	1	0	1	2	0	2	1	0	0	0	1	0	2	0	2	1	0	1	2	0	5	0
gif	0	0	1	11	8	0	0	0	41	15	0	0	0	9	0	4	0	0	3	2	0	0	0	0	0	6	0	1	0	0	0	0	1	0	0
gz	0	0	0	10	15	0	0	0	7	39	0	0	0	18	0	7	0	0	3	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	3	0	0	0	71	0	4	0	0	0	3	0	0	0	0	0	0	0	4	0	2	0	1	10	3	2	2	0	0
html	1	0	0	0	0	3	1	0	0	0	3	17	5	0	3	0	12	2	0	0	0	0	0	1	8	0	9	3	6	7	2	3	0	0	13
java	0	0	0	0	0	0	2	0	0	0	1	1	75	0	0	0	5	0	0	0	0	0	0	0	4	0	1	2	3	5	0	0	1	0	1
jpg	0	0	1	5	15	0	0	1	10	40	0	0	0	11	1	11	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kml	0	0	0	0	0	0	0	0	0	0	0	2	0	0	85	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	3	0	0	0	6
kmz	0	0	0	6	18	0	0	0	8	22	0	0	0	15	0	24	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
log	3	2	0	0	0	2	3	1	0	0	1	3	1	0	2	0	44	0	0	0	0	0	4	0	1	0	4	0	11	6	0	1	0	0	4
pdf	0	0	1	12	7	5	0	0	4	23	0	0	0	15	4	8	1	13	1	1	0	0	5	1	0	1	0	0	2	2	0	0	0	0	1
png	0	0	0	13	17	0	0	1	10	31	0	0	0	12	0	9	0	0	4	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pps	0	0	5	8	21	0	0	0	4	31	0	0	0	3	0	12	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	8	0
ppt	0	0	5	6	12	0	0	1	7	25	0	0	0	6	0	2	0	0	4	1	18	0	0	0	1	1	1	3	2	0	0	0	3	1	0
pptx	0	0	0	13	14	0	0	0	12	34	0	0	0	11	0	3	0	0	3	1	1	3	0	0	0	2	0	1	0	0	0	0	2	1	0
ps	1	0	0	0	0	32	0	0	0	2	1	0	8	0	0	0	2	0	0	0	0	0	35	7	1	0	0	0	2	5	1	0	0	0	0
rtf	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	3	76	0	0	3	1	1	4	0	1	1	0	0
sql	0	0	4	0	0	0	1	0	0	0	5	0	4	0	1	0	10	0	0	0	0	0	0	0	37	0	1	0	5	26	0	3	1	0	2
swf	0	0	1	14	5	0	0	1	14	26	0	0	0	8	0	13	0	0	3	1	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0
tex	2	0	0	0	0	0	1	0	0	0	2	2	4	0	0	0	15	0	0	0	0	0	0	2	0	0	58	0	3	10	1	1	0	0	1
text	1	0	8	3	2	1	4	0	1	8	0	0	2	3	1	0	2	0	1	0	2	0	5	5	2	1	4	8	4	12	12	5	7	8	0
tmp	2	0	0	0	0	2	1	0	0	0	0	4	4	0	0	0	33	0	0	0	0	0	3	1	2	0	2	0	32	5	2	0	0	0	2
troff	6	0	0	0	0	1	8	0	0	0	4	1	3	0	0	0	4	0	0	0	0	0	0	0	11	0	1	0	2	51	6	1	0	0	0
txt	2	2	1	0	0	2	4	1	0	0	6	1	7	0	2	0	5	0	0	0	0	0	5	0	1	0	6	10	4	16	23	2	2	0	0
unk	1	1	5	2	1	1	4	2	2	3	5	4	5	0	1	0	11	1	0	0	0	0	0	3	1	0	7	1	2	10	4	13	3	4	2
wp	0	0	4	1	0	0	1	2	0	0	2	0	2	0	0	1	2	0	0	0	3	0	0	1	1	1	2	0	0	6	2	2	61	4	0
xls	0	0	10	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	1	1	0	1	2	3	0	1	0	64	0
xml	0	0	2	0	0	1	0	0	0	0	2	7	6	0	9	0	6	0	0	0	0	0	0	4	1	0	9	0	4	4	1	0	0	0	36
