True	doc	eps	f	java	log	pdf	pptx	ps	swf	txt
doc	77	0	4	2	0	1	6	0	4	3
eps	0	51	1	0	5	0	3	38	2	2
f	0	1	37	14	8	0	0	4	0	32
java	0	1	20	68	8	0	0	2	0	2
log	2	2	3	7	82	1	0	9	0	1
pdf	0	1	0	0	7	49	25	5	10	1
pptx	0	0	0	0	0	0	86	0	17	0
ps	0	11	0	2	9	0	2	80	0	1
swf	0	0	1	0	0	0	54	0	46	1
txt	0	7	20	8	5	0	0	21	0	28
