True	csv	dbase3	dwf	fits	gif	jpg	kml	png	pptx	ps	swf	text	tmp	troff	txt	wp	xls	xml
csv	78	5	0	0	0	0	2	0	0	0	0	2	0	5	3	0	0	1
dbase3	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	8	0	25	15	0	16	21	0	22	0	0	0	0	0	0	0
fits	0	1	1	64	14	0	0	0	3	2	4	4	0	0	3	2	3	1
gif	0	0	1	0	64	9	0	8	13	0	4	0	0	0	0	0	0	0
jpg	0	0	3	4	20	21	0	15	23	0	11	1	0	0	0	2	1	0
kml	1	0	0	0	0	0	80	0	0	0	0	0	0	1	3	0	0	13
png	0	0	4	0	27	6	0	23	29	0	8	2	0	0	0	1	0	0
pptx	0	0	3	3	18	16	0	17	35	0	10	1	0	0	0	1	0	0
ps	3	1	0	0	0	0	0	0	0	83	0	1	0	0	4	0	0	5
swf	0	0	0	0	24	14	0	24	19	0	18	1	0	0	0	3	0	0
text	2	0	2	10	3	0	2	3	12	2	4	19	2	12	19	4	13	2
tmp	3	3	0	1	0	0	4	0	0	7	0	4	26	3	19	1	9	17
troff	9	0	0	0	0	0	0	0	0	1	0	4	3	50	17	10	0	7
txt	4	0	0	5	0	0	1	0	0	0	0	32	2	8	33	8	0	1
wp	1	0	0	2	0	1	0	0	1	0	1	10	0	3	3	67	5	0
xls	0	0	0	0	0	0	0	2	2	0	1	4	0	3	0	11	72	0
xml	1	0	0	0	0	0	13	0	0	1	0	9	3	0	4	3	0	62
