Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C64_64_1PR_C64_16_1PR_L64_D31_cat	133471	5	2m09s	0.111	0.095
C64_64_1PR_C64_16_1PR_L128_D31_cat	201247	5	2m12s	0.087	0.094
