True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	50	0	0	0	0	1	3	0	0	0	1	5	1	0	0	0	3	0	0	0	0	2	4	0	7	0	2	3	0	10	8	2	0	0	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	19	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	6	14	1	0	0	0	0	0	1	0	0	0	1	2	49	0
docx	0	0	0	82	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	72	0	0	0	2	3	0	0	0	0	0	8	0	0	0	4	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	67	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	21	0	1	0	0	0	0	2	1	1	0	0	0
f	5	0	0	0	0	2	25	5	0	0	7	1	4	0	0	0	2	0	0	0	0	0	4	0	8	0	2	6	1	10	8	6	2	0	2
fits	0	0	0	0	0	0	0	67	1	0	0	0	0	2	0	0	0	0	2	5	0	2	3	0	0	6	0	4	0	0	1	1	1	0	0
gif	0	0	0	2	2	0	0	0	66	1	0	0	0	6	0	3	0	0	3	5	0	3	0	0	0	6	0	1	0	0	0	1	1	0	0
gz	0	0	0	0	3	0	0	0	0	49	0	0	0	1	0	8	0	0	1	6	0	30	0	0	0	5	0	0	0	0	0	0	0	0	0
hlp	1	0	0	0	0	0	5	0	0	0	71	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	4	0	0	0
html	3	0	3	0	0	2	2	2	0	0	0	69	0	0	0	0	0	0	0	0	0	0	2	3	0	0	2	0	0	2	0	2	0	0	8
java	0	0	0	0	0	0	8	0	0	0	10	2	56	0	0	0	14	0	0	0	0	0	0	0	4	0	2	0	0	1	0	3	0	0	0
jpg	0	0	4	0	0	0	0	0	1	1	0	1	0	69	0	0	0	0	2	6	0	13	0	0	0	2	0	1	0	0	0	3	0	0	0
kml	0	0	0	0	0	3	0	0	0	0	0	4	5	0	62	0	4	1	0	0	0	0	1	0	4	0	4	2	0	0	0	0	0	0	9
kmz	0	0	0	0	3	0	0	0	0	9	0	0	0	0	0	70	0	0	1	5	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0
log	2	0	0	2	0	3	0	1	0	0	0	3	2	0	2	0	40	0	0	0	0	0	13	0	3	0	10	0	5	3	1	3	0	0	6
pdf	0	0	0	0	5	1	0	0	2	6	0	0	0	1	0	7	0	46	0	8	0	9	7	0	0	7	0	0	0	0	0	1	0	0	0
png	0	0	0	1	1	0	0	0	3	5	0	0	0	7	0	3	0	0	56	7	0	15	0	0	0	4	0	0	0	0	0	0	0	0	0
pps	0	0	2	0	0	0	0	1	1	11	0	0	0	2	0	6	0	0	3	21	3	35	0	0	0	7	0	0	0	0	0	1	4	2	0
ppt	0	0	10	1	0	0	0	1	1	6	0	0	0	2	0	2	0	0	1	32	10	26	0	0	0	8	0	1	0	0	0	0	0	4	0
pptx	0	0	0	10	1	0	0	2	0	12	0	0	0	1	0	2	0	2	2	13	0	46	0	0	0	13	0	0	0	0	0	0	1	0	0
ps	0	0	0	0	0	27	0	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0	59	1	0	0	2	0	0	1	2	0	0	0	0
rtf	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	79	0	0	5	1	0	1	0	0	0	0	0
sql	2	0	0	2	0	0	8	2	0	0	2	10	2	0	0	0	2	0	0	0	0	0	0	0	56	0	0	3	2	0	6	1	0	0	0
swf	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	6	0	0	5	11	0	27	0	0	0	40	0	0	1	0	0	0	3	1	0
tex	1	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	7	0	0	0	0	0	0	0	3	0	78	0	0	0	2	1	0	0	0
text	3	0	14	2	1	3	6	6	0	2	0	1	0	0	0	1	0	0	0	4	6	2	7	0	5	1	0	17	5	5	7	1	1	5	0
tmp	2	0	0	2	0	5	1	0	0	0	4	6	0	0	0	0	1	2	0	0	0	0	2	1	15	0	0	1	53	1	0	2	0	0	4
troff	0	0	0	0	0	2	4	1	0	0	4	3	3	0	0	0	3	1	0	0	0	0	4	0	7	0	0	7	2	54	4	3	0	0	0
txt	2	0	0	0	0	8	12	5	0	0	2	2	2	0	0	0	0	2	0	0	0	0	10	0	6	0	3	11	1	5	20	6	0	0	1
unk	0	0	2	1	0	1	8	11	0	0	6	1	6	0	1	0	0	2	0	0	2	0	2	2	9	0	3	2	3	3	5	21	3	2	0
wp	0	0	0	0	2	0	1	2	0	0	2	0	0	0	0	3	0	0	14	4	0	0	1	0	1	5	0	2	2	1	0	1	61	1	0
xls	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	3	0	0	0	0	0	0	0	60	0
xml	0	0	0	0	0	2	1	0	0	0	0	15	1	0	9	0	5	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	61
