True	doc	dwf	f	fits	gz	jpg	kml	kmz	pdf	pps	pptx	rtf	sql	text	tmp	xls	xml
doc	30	1	0	1	0	0	0	0	1	11	5	0	0	1	0	51	1
dwf	0	84	0	1	4	0	0	2	0	3	6	0	0	2	0	0	0
f	0	0	46	9	0	0	0	0	0	0	0	2	14	11	10	0	7
fits	1	3	1	81	0	1	0	0	1	4	0	0	1	3	1	2	0
gz	0	1	0	1	82	0	0	2	3	3	13	0	0	0	0	0	0
jpg	5	2	0	1	0	63	0	1	2	4	11	0	0	2	2	1	0
kml	0	0	0	1	0	0	78	0	0	0	0	0	0	0	1	0	19
kmz	0	18	0	0	19	0	0	57	1	0	6	0	0	0	0	0	0
pdf	1	1	1	3	8	0	3	2	50	5	16	1	0	5	0	0	1
pps	1	4	0	3	28	0	0	3	1	17	29	6	0	1	0	8	0
pptx	0	5	0	0	41	0	0	0	2	9	39	2	0	0	0	0	0
rtf	1	0	0	0	0	0	0	0	0	0	0	87	0	2	0	0	5
sql	0	0	22	0	0	1	4	0	1	0	5	0	46	7	5	0	7
text	7	0	14	12	3	0	4	0	1	5	5	1	4	30	1	7	3
tmp	0	0	6	0	0	0	2	0	4	5	0	5	14	5	58	0	11
xls	10	0	1	0	0	0	0	0	0	2	0	0	0	0	0	88	0
xml	0	0	3	0	0	0	17	0	3	0	0	0	1	1	7	0	70
