True	dbase3	fits	gif	hlp	kml	log	png	rtf	sql	tex	tmp	xml
dbase3	99	0	0	0	0	0	0	0	0	0	0	0
fits	0	77	2	0	0	0	15	0	0	0	2	0
gif	0	1	80	0	0	0	30	0	0	0	0	0
hlp	0	0	0	63	0	8	0	7	14	6	7	0
kml	0	0	0	0	77	9	0	0	0	1	1	12
log	0	2	0	0	5	67	0	5	6	4	1	5
png	0	3	2	0	0	0	90	0	0	0	0	0
rtf	0	0	1	0	0	1	1	98	0	0	1	2
sql	0	4	0	5	0	8	0	0	72	3	6	1
tex	0	0	0	2	0	5	0	6	6	69	4	2
tmp	0	2	3	1	2	20	0	0	15	0	58	4
xml	0	0	0	0	15	7	0	0	3	0	1	71
