True	doc	f	gif	gz	html	java	jpg	pdf	png	ppt	ps	rtf	swf	txt	xls	xml
doc	16	0	2	1	1	0	2	0	0	0	0	2	1	4	4	0
f	0	13	0	0	2	9	0	0	0	0	0	0	0	13	0	1
gif	0	1	17	1	0	0	4	1	7	0	0	0	1	0	0	0
gz	0	0	1	8	0	0	8	4	6	0	0	0	0	0	0	0
html	0	2	0	0	18	2	0	1	0	0	0	0	0	4	0	4
java	0	1	0	0	2	29	0	0	0	0	0	0	0	2	0	0
jpg	1	0	1	1	0	0	19	1	5	1	0	0	1	0	0	0
pdf	0	0	2	2	2	0	8	8	4	0	1	0	2	1	0	0
png	0	0	5	2	0	0	9	4	5	0	0	0	1	0	0	0
ppt	4	0	0	3	0	0	12	0	3	0	0	0	2	0	6	0
ps	0	1	0	0	3	1	0	1	0	0	20	2	0	4	0	3
rtf	0	0	0	0	0	0	0	0	0	0	1	25	0	4	0	0
swf	0	1	8	2	0	0	14	0	3	1	0	0	1	0	0	0
txt	1	8	0	0	5	3	0	0	0	0	3	2	0	13	0	0
xls	6	1	0	0	0	0	0	0	0	0	0	1	0	4	18	0
xml	1	0	0	0	8	3	0	0	0	0	0	0	0	1	0	16
