True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	hlp	html	kml	kmz	png	ppt	pptx	rtf	sql	swf	tex	text	txt	unk	wp	xls	xml
csv	69	1	0	0	0	3	3	0	0	1	1	0	0	0	0	0	0	6	0	0	0	7	0	0	0	0
dbase3	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
doc	0	1	27	3	5	0	1	0	0	2	1	1	0	1	10	1	2	2	2	0	0	10	2	5	17	0
docx	0	0	1	22	38	0	0	1	2	0	0	0	2	4	6	7	0	0	20	0	0	0	0	1	0	0
dwf	0	0	0	3	50	0	0	0	4	0	0	0	3	1	7	7	0	0	17	0	0	0	0	1	0	0
eps	0	0	0	0	0	83	0	3	1	1	1	0	0	0	1	0	0	2	0	0	1	5	0	0	0	1
f	0	3	0	0	0	15	37	2	0	9	10	0	0	0	0	0	1	8	0	0	0	13	1	3	0	1
fits	0	3	0	0	7	2	0	45	4	1	2	0	0	1	0	2	0	0	5	0	1	0	4	3	16	0
gif	0	0	0	5	28	0	0	0	44	0	0	0	5	3	2	4	0	0	14	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	10	0	0	70	0	0	0	0	0	0	1	4	0	0	0	12	0	5	0	0
html	0	0	0	0	0	0	5	0	0	5	40	5	0	0	0	0	3	3	0	2	1	13	0	1	0	25
kml	0	0	0	0	0	2	0	0	0	0	6	64	0	0	0	0	0	2	0	2	1	10	0	0	0	17
kmz	0	0	0	12	36	0	0	0	0	0	0	0	10	1	15	7	0	0	14	0	0	0	0	0	0	0
png	0	0	0	4	45	0	0	0	1	0	0	0	12	5	10	5	0	0	19	0	0	0	0	0	0	0
ppt	0	0	7	6	26	0	0	0	2	0	0	0	5	5	19	6	0	0	10	0	0	1	0	6	5	0
pptx	0	0	0	4	40	0	0	1	5	0	0	0	13	3	13	9	0	0	14	0	0	0	0	4	0	0
rtf	1	0	0	0	0	6	0	0	0	4	0	0	0	0	1	0	79	0	0	4	1	4	0	1	0	0
sql	1	0	4	0	0	5	13	0	0	4	7	0	0	0	0	0	0	51	0	1	0	8	1	0	1	7
swf	0	0	0	4	27	0	0	0	3	0	0	0	3	3	8	14	0	0	33	0	0	0	0	4	3	0
tex	1	0	0	0	0	5	1	0	0	4	8	1	0	0	0	0	3	6	0	44	0	11	1	4	0	7
text	0	2	6	3	5	4	7	3	0	4	0	1	1	2	5	2	1	5	6	0	8	12	1	10	9	0
txt	3	6	0	0	0	1	11	1	0	9	1	0	0	0	0	0	1	5	0	2	15	33	0	7	0	0
unk	2	1	1	1	1	5	11	3	1	6	5	1	0	0	4	1	1	7	0	2	1	26	12	3	6	2
wp	0	0	4	0	0	2	0	1	1	1	0	0	0	0	3	0	0	0	0	1	0	6	0	86	2	0
xls	0	0	9	2	0	1	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	2	0	3	82	0
xml	0	0	0	0	0	1	3	0	0	2	22	2	0	0	0	0	4	1	0	2	0	8	2	2	0	54
