True	csv	doc	gz	html	java	log	png	ps	rtf	swf	xls	xml
csv	92	0	0	4	2	1	0	0	0	0	0	1
doc	2	40	6	1	2	3	5	0	2	5	32	2
gz	0	0	48	0	0	0	29	2	0	21	0	0
html	1	8	0	48	9	14	0	0	5	0	1	14
java	1	1	0	8	82	3	0	0	0	0	1	4
log	0	0	0	16	5	65	0	5	0	0	0	9
png	0	3	28	0	0	0	46	0	0	23	0	0
ps	2	3	0	0	7	21	1	53	11	0	1	1
rtf	0	10	0	1	2	4	0	1	82	0	0	0
swf	0	4	29	0	0	0	25	0	1	38	3	0
xls	2	11	1	0	3	0	0	0	0	0	83	0
xml	0	1	0	5	11	10	0	0	6	0	0	67
