True	csv	doc	f	kml	kmz	png	pps	ps	rtf	swf	text	unk	xls
csv	69	0	3	4	0	0	0	6	2	0	8	1	0
doc	0	24	1	0	0	0	12	0	1	5	0	0	58
f	9	0	46	4	0	0	0	3	3	0	13	23	0
kml	1	0	0	96	0	0	0	4	0	0	0	3	0
kmz	0	0	0	0	81	5	6	0	0	7	1	0	0
png	0	0	0	0	7	74	9	0	0	10	0	0	0
pps	1	7	0	0	15	13	31	0	0	13	5	1	9
ps	4	0	3	7	3	0	0	77	4	0	4	2	0
rtf	1	0	2	1	0	0	0	7	87	0	0	0	4
swf	0	1	0	0	15	18	8	0	0	54	2	0	0
text	1	15	7	2	1	5	10	4	2	3	28	10	14
unk	4	3	26	5	0	1	2	6	5	0	5	33	5
xls	0	6	1	0	0	0	2	0	0	3	1	1	91
