True	dwf	gif	gz	html	jpg	kml	log	png	ppt	sql	swf	text	tmp	txt	unk	wp	xml
dwf	78	0	4	0	1	0	0	5	3	0	10	0	0	0	0	0	0
gif	3	74	0	0	5	0	0	1	9	0	6	1	0	0	0	4	0
gz	0	2	82	0	2	0	0	2	5	0	14	0	0	0	0	0	0
html	0	0	0	58	0	6	11	0	0	2	0	2	2	1	10	0	13
jpg	2	2	1	2	67	0	0	3	10	0	7	0	0	0	1	5	0
kml	0	0	0	0	0	78	11	0	0	0	0	0	0	3	0	0	4
log	0	0	0	0	0	4	76	0	1	3	0	1	5	1	3	0	1
png	1	19	6	0	1	0	0	55	8	0	11	0	0	0	0	4	0
ppt	0	4	18	0	3	0	0	1	32	0	19	17	1	0	1	5	0
sql	0	0	0	5	0	0	8	0	0	40	0	1	5	20	10	0	0
swf	3	4	12	0	5	0	0	9	11	0	52	0	0	0	1	4	0
text	1	3	6	1	1	0	5	1	11	8	2	30	0	25	8	3	0
tmp	0	0	0	0	0	0	8	0	0	6	0	5	56	14	5	0	0
txt	0	0	0	0	0	0	8	0	0	3	0	6	1	43	30	0	0
unk	1	2	4	0	0	2	3	2	2	1	0	8	2	19	51	0	0
wp	1	0	0	0	0	0	0	4	9	0	1	1	0	9	0	76	0
xml	0	0	0	6	0	12	14	0	0	0	0	0	1	1	1	0	74
