True	dbase3	doc	docx	dwf	eps	f	fits	hlp	java	kml	log	ppt	ps	sql	tex	troff	unk	wp	xls	xml
dbase3	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	73	4	0	0	1	4	0	0	0	0	11	0	0	0	0	0	1	2	0
docx	0	0	91	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
dwf	0	0	1	82	0	0	2	0	0	0	0	25	0	0	0	0	0	1	0	0
eps	0	1	0	0	72	1	3	0	0	0	1	0	15	0	0	1	1	0	0	0
f	0	0	0	0	2	36	5	0	6	1	0	0	7	16	0	9	9	0	0	1
fits	0	2	0	1	0	0	80	0	0	0	0	10	0	0	0	0	5	0	1	0
hlp	0	0	0	0	0	15	0	61	5	0	0	0	0	3	0	3	3	1	0	0
java	0	0	0	0	0	16	0	0	56	5	8	0	2	3	0	6	6	0	0	1
kml	0	0	0	0	0	0	0	0	0	90	4	0	0	0	2	0	0	0	0	7
log	0	0	0	0	6	5	0	1	3	9	45	0	4	3	8	0	5	0	0	5
ppt	0	24	3	6	0	0	1	0	0	0	0	69	0	0	0	0	0	5	2	0
ps	0	0	2	0	17	2	4	0	1	1	4	0	60	0	1	2	0	0	0	5
sql	0	3	0	0	4	10	0	3	1	2	2	0	3	47	1	9	10	2	0	3
tex	0	0	0	0	0	8	0	1	2	6	2	0	0	5	77	0	1	0	0	1
troff	0	0	0	0	0	20	1	2	5	0	1	0	2	2	0	60	6	1	0	0
unk	0	12	2	0	2	21	10	1	2	0	3	1	1	3	0	11	22	3	0	2
wp	0	8	0	2	0	5	3	0	0	0	0	1	0	0	0	1	0	82	1	0
xls	1	26	0	0	0	0	1	0	0	0	0	5	0	0	0	2	0	4	65	0
xml	0	0	0	0	0	5	0	0	3	18	0	0	5	0	2	5	0	0	0	66
