True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	79	0	0	0	0	1	3	0	0	0	0	3	1	0	1	0	2	0	0	0	0	0	5	0	5	0	5	0	0	1	2	0	0	0	0
dbase3	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
doc	1	0	54	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	4	2	1	0	1	0	0	13	0	0	0	0	1	15	0
docx	0	0	0	87	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	75	0	0	1	6	3	0	0	0	5	0	4	0	0	0	1	0	6	0	0	0	4	0	0	0	0	0	0	1	1	0
eps	1	0	0	0	0	74	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	10	1	1	0	1	0	2	0	2	0	0	0	0
f	5	0	0	0	0	0	21	0	0	0	1	1	8	0	0	0	1	0	0	0	0	0	4	0	11	0	0	1	2	10	22	12	0	0	1
fits	0	0	0	0	2	0	3	60	6	1	0	0	0	0	0	0	0	1	1	2	1	3	0	0	2	4	0	1	0	0	1	7	1	1	0
gif	0	0	0	0	4	0	0	3	81	2	0	0	0	3	0	0	0	1	4	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0
gz	0	0	0	1	0	0	0	1	5	52	0	0	0	0	0	4	0	4	0	10	2	16	0	0	0	2	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	6	2	0	0	49	0	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	7	5	0	0
html	8	0	0	0	0	0	1	1	0	0	0	63	2	0	2	0	1	1	0	0	0	0	0	1	4	0	1	0	2	0	2	4	0	0	11
java	0	0	0	0	0	1	3	0	0	0	2	1	72	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	8	0	0	2
jpg	0	0	0	0	0	0	0	4	4	0	0	1	0	70	0	1	0	0	0	1	1	6	0	0	0	3	0	0	0	0	0	1	4	0	0
kml	1	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	18
kmz	0	0	0	1	9	0	0	0	0	12	0	0	0	0	0	59	0	0	1	3	2	13	0	0	0	2	0	0	0	0	0	0	1	0	0
log	0	0	0	0	0	1	1	0	0	0	0	2	9	0	9	0	52	0	0	0	0	0	7	0	0	0	6	0	8	1	1	1	0	0	4
pdf	0	0	0	3	0	1	0	0	3	3	0	0	0	5	0	8	1	47	0	1	2	9	9	1	0	2	0	2	0	0	1	0	0	0	2
png	0	0	0	1	3	0	0	1	7	6	0	0	0	3	0	3	0	1	50	2	0	11	0	0	0	5	0	0	0	0	0	0	4	1	0
pps	0	0	1	2	3	0	0	0	6	9	0	0	0	2	0	6	0	1	1	22	5	32	0	0	1	3	0	2	0	0	0	0	2	5	0
ppt	0	0	13	2	1	0	0	2	1	4	0	0	0	2	0	0	0	1	0	19	9	21	0	0	0	2	0	8	0	0	0	0	5	7	0
pptx	0	0	0	13	1	0	0	0	6	10	0	0	0	3	0	5	0	0	0	12	6	39	0	1	1	9	0	0	0	0	0	0	0	0	0
ps	1	0	0	0	0	16	1	0	0	3	0	0	4	0	0	0	2	1	0	0	0	0	59	1	1	0	1	1	2	0	4	1	0	0	0
rtf	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	4	84	0	0	2	0	0	0	0	1	1	0	0
sql	0	0	0	0	0	0	9	0	0	0	0	2	9	0	1	0	9	0	0	0	0	0	0	0	56	0	0	3	5	4	2	7	0	0	0
swf	0	0	0	1	8	5	0	0	4	9	0	0	0	0	0	1	0	3	1	15	4	28	0	0	0	22	0	0	0	0	0	0	7	0	0
tex	2	0	0	0	0	1	2	0	0	0	0	3	0	0	3	0	5	0	0	0	0	0	0	1	2	0	68	0	4	0	5	0	0	0	5
text	0	0	9	0	0	1	9	2	1	0	0	1	1	3	0	1	4	0	0	1	0	2	5	2	5	3	0	27	3	3	9	6	3	0	0
tmp	0	0	0	0	0	7	2	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	5	0	5	0	1	0	51	1	4	1	0	0	2
troff	9	0	0	0	0	5	7	2	0	0	3	2	7	0	0	0	4	0	0	0	0	0	5	0	1	0	0	0	2	45	4	2	2	0	3
txt	2	0	0	0	0	0	9	8	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	1	2	0	1	4	8	7	21	24	5	0	0
unk	4	0	1	0	0	3	7	1	0	0	0	2	11	0	0	0	3	0	2	2	0	2	5	0	2	0	2	7	2	2	7	26	1	1	1
wp	0	0	0	2	2	0	1	1	0	0	0	0	1	2	0	1	0	0	1	2	1	0	0	1	0	0	0	0	1	0	3	2	82	1	0
xls	0	0	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	3	66	0
xml	0	0	0	0	0	0	0	0	0	0	0	20	2	0	10	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	56
