Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C64_16_2PR_C32_4_2PR_C64_32_4PR_F_D31_cat	145599	18	2m05s	0.4068	0.375
C64_16_2PR_C64_4_2PR_C64_32_4PR_F_D31_cat	219359	16	2m04s	0.416	0.3668
C64_16_2PR_C128_4_2PR_C64_32_4PR_F_D31_cat	366879	15	2m08s	0.4244	0.3618
