Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C64_64_1PR_C64_16_1PR_L64_D31_cat	166239	5	2m12s	0.092	0.098
C64_64_1PR_C64_16_1PR_L128_D31_cat	234015	5	2m15s	0.117	0.078
