True	csv	dwf	fits	gz	html	kml	log	pdf	pps	ppt	sql	tmp	troff
csv	74	0	2	0	2	2	8	1	0	0	2	3	3
dwf	0	86	2	8	0	0	0	0	0	10	0	0	0
fits	0	2	83	0	1	0	3	3	0	3	3	1	1
gz	0	2	0	65	0	0	0	14	7	10	0	0	0
html	1	0	0	0	67	4	7	0	0	0	9	7	0
kml	2	0	0	0	0	88	8	0	0	0	2	0	0
log	0	0	1	0	2	7	71	3	0	0	6	9	1
pdf	0	6	5	12	2	0	3	60	3	11	1	1	0
pps	0	6	3	19	0	1	0	11	9	50	0	2	0
ppt	0	5	0	15	0	0	0	5	12	63	0	1	0
sql	2	0	2	0	1	0	9	0	0	0	73	4	7
tmp	0	0	2	0	1	0	19	3	1	1	19	47	6
troff	7	0	3	0	5	0	3	2	0	0	5	7	69
