True	doc	fits	html	kmz	log	pdf	png	ps	rtf	tex	unk	xls	xml
doc	42	2	3	5	2	6	5	1	7	5	8	17	0
fits	2	68	0	3	2	4	2	1	0	0	1	7	0
html	2	3	57	0	9	1	0	0	8	6	7	0	4
kmz	0	4	0	58	0	21	22	0	0	0	0	0	0
log	2	3	7	0	56	0	0	6	6	5	7	0	3
pdf	2	4	1	25	4	48	15	2	0	0	1	3	0
png	0	1	0	28	0	43	29	0	0	0	0	0	0
ps	0	1	1	0	5	4	0	80	4	2	0	0	1
rtf	1	0	1	0	3	0	0	0	92	2	1	1	0
tex	5	0	0	0	7	2	0	0	7	66	6	0	4
unk	9	13	13	2	4	7	2	2	4	3	43	6	1
xls	14	1	0	0	1	0	0	2	1	1	2	75	0
xml	0	0	23	0	16	0	0	0	4	2	4	0	53
