True	dwf	eps	f	kml	pdf	pps	tex	text	wp	xls
dwf	60	0	0	0	24	19	0	0	1	0
eps	0	90	1	1	9	1	1	4	0	1
f	1	2	71	3	3	0	3	11	2	0
kml	0	2	1	91	2	0	2	2	0	1
pdf	36	2	0	5	40	16	0	1	0	0
pps	39	0	0	0	15	42	0	0	3	5
tex	0	3	7	3	2	0	74	9	5	0
text	11	2	24	3	4	5	2	29	7	3
wp	3	1	5	0	0	2	3	2	79	5
xls	0	2	1	0	2	1	0	3	7	78
